Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
01/01/2023 00:00,Great Britain,Great Britain,GB,71.54,103.5,85.53,61.24,bmreports.com,FALSE,
01/01/2023 01:00,Great Britain,Great Britain,GB,65.29,95.6,87.13,62.47,bmreports.com,FALSE,
01/01/2023 02:00,Great Britain,Great Britain,GB,63.29,93.47,87.32,61.77,bmreports.com,FALSE,
01/01/2023 03:00,Great Britain,Great Britain,GB,65.29,96.03,86.91,60.37,bmreports.com,FALSE,
01/01/2023 04:00,Great Britain,Great Britain,GB,69.26,100.91,85.99,58.78,bmreports.com,FALSE,
01/01/2023 05:00,Great Britain,Great Britain,GB,68.9,100.22,86.26,58.82,bmreports.com,FALSE,
01/01/2023 06:00,Great Britain,Great Britain,GB,69.41,100.92,85.99,58.61,bmreports.com,FALSE,
01/01/2023 07:00,Great Britain,Great Britain,GB,69.05,100.03,85.14,57.49,bmreports.com,FALSE,
01/01/2023 08:00,Great Britain,Great Britain,GB,70.68,101.97,85.02,57.51,bmreports.com,FALSE,
01/01/2023 09:00,Great Britain,Great Britain,GB,65.04,94.52,86.08,58.24,bmreports.com,FALSE,
01/01/2023 10:00,Great Britain,Great Britain,GB,65.95,97.62,85.59,57.75,bmreports.com,FALSE,
01/01/2023 11:00,Great Britain,Great Britain,GB,68.47,102.86,85.27,59.27,bmreports.com,FALSE,
01/01/2023 12:00,Great Britain,Great Britain,GB,69.45,106.39,84.5,59.67,bmreports.com,FALSE,
01/01/2023 13:00,Great Britain,Great Britain,GB,71.72,108.18,83.55,58.28,bmreports.com,FALSE,
01/01/2023 14:00,Great Britain,Great Britain,GB,88.49,131.39,79.37,53.84,bmreports.com,FALSE,
01/01/2023 15:00,Great Britain,Great Britain,GB,114.88,164.35,72.76,47.63,bmreports.com,FALSE,
01/01/2023 16:00,Great Britain,Great Britain,GB,131.58,185.18,69,45.35,bmreports.com,FALSE,
01/01/2023 17:00,Great Britain,Great Britain,GB,143.3,199.97,66.36,43.31,bmreports.com,FALSE,
01/01/2023 18:00,Great Britain,Great Britain,GB,136.53,192.02,67.76,43.39,bmreports.com,FALSE,
01/01/2023 19:00,Great Britain,Great Britain,GB,137.14,192.94,67.26,41.18,bmreports.com,FALSE,
01/01/2023 20:00,Great Britain,Great Britain,GB,136.96,192.21,67.68,40.24,bmreports.com,FALSE,
01/01/2023 21:00,Great Britain,Great Britain,GB,127.69,180.18,70.75,41.16,bmreports.com,FALSE,
01/01/2023 22:00,Great Britain,Great Britain,GB,122.34,173.25,72.66,40.6,bmreports.com,FALSE,
01/01/2023 23:00,Great Britain,Great Britain,GB,122.79,173.63,72.78,39.3,bmreports.com,FALSE,
02/01/2023 00:00,Great Britain,Great Britain,GB,112.68,162.87,74.59,40.64,bmreports.com,FALSE,
02/01/2023 01:00,Great Britain,Great Britain,GB,106.15,151.48,76.5,42.4,bmreports.com,FALSE,
02/01/2023 02:00,Great Britain,Great Britain,GB,103.08,147.39,77.95,44.13,bmreports.com,FALSE,
02/01/2023 03:00,Great Britain,Great Britain,GB,101.18,145.75,79.15,44.63,bmreports.com,FALSE,
02/01/2023 04:00,Great Britain,Great Britain,GB,102.82,149.85,78.3,43.12,bmreports.com,FALSE,
