date,start,end,actual
2023-09-03,00:00,01:00,151.61923913043478
2023-09-03,01:00,02:00,176.7271739130435
2023-09-03,02:00,03:00,212.38521739130434
2023-09-03,03:00,04:00,222.8633695652174
2023-09-03,04:00,05:00,222.5825
2023-09-03,05:00,06:00,222.9654347826087
2023-09-03,06:00,07:00,219.62771739130434
2023-09-03,07:00,08:00,219.3844565217391
2023-09-03,08:00,09:00,215.04782608695655
2023-09-03,09:00,10:00,212.55217391304348
2023-09-03,10:00,11:00,212.75173913043477
2023-09-03,11:00,12:00,214.0467391304348
2023-09-03,12:00,13:00,219.1344565217391
2023-09-03,13:00,14:00,206.14228260869567
2023-09-03,14:00,15:00,165.09673913043477
2023-09-03,15:00,16:00,144.7883695652174
2023-09-03,16:00,17:00,136.67847826086955
2023-09-03,17:00,18:00,132.2388043478261
2023-09-03,18:00,19:00,129.00619565217391
2023-09-03,19:00,20:00,126.5354347826087
2023-09-03,20:00,21:00,125.93173913043478
2023-09-03,21:00,22:00,127.78402173913045
2023-09-03,22:00,23:00,133.4817391304348
2023-09-03,23:00,24:00,141.4236956521739
