date,start,end,actual
2023-04-03,00:00,01:00,228.89377777777776
2023-04-03,01:00,02:00,249.86666666666667
2023-04-03,02:00,03:00,252.26911111111113
2023-04-03,03:00,04:00,252.49922222222222
2023-04-03,04:00,05:00,252.85922222222223
2023-04-03,05:00,06:00,255.35022222222221
2023-04-03,06:00,07:00,259.3976666666667
2023-04-03,07:00,08:00,260.28333333333336
2023-04-03,08:00,09:00,262.3602222222222
2023-04-03,09:00,10:00,263.5612222222222
2023-04-03,10:00,11:00,264.14844444444446
2023-04-03,11:00,12:00,264.4402222222222
2023-04-03,12:00,13:00,262.98688888888887
2023-04-03,13:00,14:00,260.0718888888889
2023-04-03,14:00,15:00,255.48088888888887
2023-04-03,15:00,16:00,235.7271111111111
2023-04-03,16:00,17:00,185.26644444444443
2023-04-03,17:00,18:00,159.76933333333332
2023-04-03,18:00,19:00,155.42866666666666
2023-04-03,19:00,20:00,155.094
2023-04-03,20:00,21:00,155.7467777777778
2023-04-03,21:00,22:00,156.6698888888889
2023-04-03,22:00,23:00,162.02744444444443
2023-04-03,23:00,24:00,185.7337777777778
