date,start,end,actual
2023-07-03,00:00,01:00,125.595
2023-07-03,01:00,02:00,163.38054347826088
2023-07-03,02:00,03:00,195.08369565217393
2023-07-03,03:00,04:00,199.45532608695652
2023-07-03,04:00,05:00,197.4403260869565
2023-07-03,05:00,06:00,193.36989130434782
2023-07-03,06:00,07:00,189.36206521739132
2023-07-03,07:00,08:00,186.9295652173913
2023-07-03,08:00,09:00,185.4945652173913
2023-07-03,09:00,10:00,185.8429347826087
2023-07-03,10:00,11:00,186.23152173913041
2023-07-03,11:00,12:00,185.5798913043478
2023-07-03,12:00,13:00,189.3954347826087
2023-07-03,13:00,14:00,187.6014130434783
2023-07-03,14:00,15:00,160.1904347826087
2023-07-03,15:00,16:00,125.47413043478262
2023-07-03,16:00,17:00,110.96989130434783
2023-07-03,17:00,18:00,106.74195652173913
2023-07-03,18:00,19:00,106.68108695652174
2023-07-03,19:00,20:00,105.56684782608696
2023-07-03,20:00,21:00,103.96858695652175
2023-07-03,21:00,22:00,101.80054347826086
2023-07-03,22:00,23:00,101.38423913043479
2023-07-03,23:00,24:00,108.37315217391304
