date,start,end,actual
2023-12-03,00:00,01:00,216.7573626373626
2023-12-03,01:00,02:00,248.19857142857143
2023-12-03,02:00,03:00,253.41021978021976
2023-12-03,03:00,04:00,253.35813186813186
2023-12-03,04:00,05:00,255.84604395604399
2023-12-03,05:00,06:00,260.28087912087915
2023-12-03,06:00,07:00,262.66120879120876
2023-12-03,07:00,08:00,263.93010989010986
2023-12-03,08:00,09:00,262.8050549450549
2023-12-03,09:00,10:00,262.86846153846153
2023-12-03,10:00,11:00,262.86978021978024
2023-12-03,11:00,12:00,263.25373626373624
2023-12-03,12:00,13:00,265.9241758241758
2023-12-03,13:00,14:00,264.45065934065934
2023-12-03,14:00,15:00,244.66021978021976
2023-12-03,15:00,16:00,189.10945054945054
2023-12-03,16:00,17:00,157.00846153846155
2023-12-03,17:00,18:00,146.6413186813187
2023-12-03,18:00,19:00,143.50087912087912
2023-12-03,19:00,20:00,141.15571428571428
2023-12-03,20:00,21:00,137.5132967032967
2023-12-03,21:00,22:00,137.4632967032967
2023-12-03,22:00,23:00,143.979010989011
2023-12-03,23:00,24:00,168.41384615384615
