date,start,end,actual
2023-10-11,00:00,01:00,224.25
2023-10-11,01:00,02:00,224.74
2023-10-11,02:00,03:00,224.85
2023-10-11,03:00,04:00,224.67
2023-10-11,04:00,05:00,237.31
2023-10-11,05:00,06:00,284.58
2023-10-11,06:00,07:00,267.57
2023-10-11,07:00,08:00,215.8
2023-10-11,08:00,09:00,182.92
2023-10-11,09:00,10:00,173.58
2023-10-11,10:00,11:00,161.82
2023-10-11,11:00,12:00,157.73
2023-10-11,12:00,13:00,157.52
2023-10-11,13:00,14:00,164.57
2023-10-11,14:00,15:00,192.11
2023-10-11,15:00,16:00,275.79
2023-10-11,16:00,17:00,296.56
2023-10-11,17:00,18:00,294.44
2023-10-11,18:00,19:00,295.01
2023-10-11,19:00,20:00,274.11
2023-10-11,20:00,21:00,255.97
2023-10-11,21:00,22:00,238.43
2023-10-11,22:00,23:00,228.97
2023-10-11,23:00,24:00,234.59
2023-10-12,00:00,01:00,243.31
2023-10-12,01:00,02:00,268.73
2023-10-12,02:00,03:00,317.84
2023-10-12,03:00,04:00,378.99
2023-10-12,04:00,05:00,431.61
2023-10-12,05:00,06:00,452.78
2023-10-12,06:00,07:00,457.77
2023-10-12,07:00,08:00,454.76
2023-10-12,08:00,09:00,442.82
2023-10-12,09:00,10:00,423.34
2023-10-12,10:00,11:00,409.33
2023-10-12,11:00,12:00,406.84
2023-10-12,12:00,13:00,416.15
2023-10-12,13:00,14:00,452.38
2023-10-12,14:00,15:00,485.49
2023-10-12,15:00,16:00,513.17
2023-10-12,16:00,17:00,526.97
2023-10-12,17:00,18:00,533.75
2023-10-12,18:00,19:00,551.9
2023-10-12,19:00,20:00,558.28
2023-10-12,20:00,21:00,553.9
2023-10-12,21:00,22:00,529.9
2023-10-12,22:00,23:00,509.47
2023-10-12,23:00,24:00,477.13
2023-10-13,00:00,01:00,448.34
2023-10-13,01:00,02:00,408.15
2023-10-13,02:00,03:00,391.49
2023-10-13,03:00,04:00,370.2
2023-10-13,04:00,05:00,349.94
2023-10-13,05:00,06:00,334.88
2023-10-13,06:00,07:00,300.82
2023-10-13,07:00,08:00,240.72
2023-10-13,08:00,09:00,171.84
2023-10-13,09:00,10:00,148.95
2023-10-13,10:00,11:00,133.18
2023-10-13,11:00,12:00,122.08
2023-10-13,12:00,13:00,126.45
2023-10-13,13:00,14:00,134.61
2023-10-13,14:00,15:00,145.87
2023-10-13,15:00,16:00,181.39
2023-10-13,16:00,17:00,203.22
2023-10-13,17:00,18:00,205.56
2023-10-13,18:00,19:00,182.91
2023-10-13,19:00,20:00,162.74
2023-10-13,20:00,21:00,162.29
2023-10-13,21:00,22:00,159.85
2023-10-13,22:00,23:00,160.72
2023-10-13,23:00,24:00,160.42
