date,start,end,actual
15-11-2023,00:00,01:00,265.92
15-11-2023,01:00,02:00,262.8
15-11-2023,02:00,03:00,251.37
15-11-2023,03:00,04:00,265.48
15-11-2023,04:00,05:00,308.36
15-11-2023,05:00,06:00,359.61
15-11-2023,06:00,07:00,418.19
15-11-2023,07:00,08:00,439.62
15-11-2023,08:00,09:00,433.03
15-11-2023,09:00,10:00,416.05
15-11-2023,10:00,11:00,393.33
15-11-2023,11:00,12:00,393.89
15-11-2023,12:00,13:00,391.59
15-11-2023,13:00,14:00,406.75
15-11-2023,14:00,15:00,429.58
15-11-2023,15:00,16:00,437.61
15-11-2023,16:00,17:00,432.45
15-11-2023,17:00,18:00,431.72
15-11-2023,18:00,19:00,419.49
15-11-2023,19:00,20:00,403.35
15-11-2023,20:00,21:00,381.9
15-11-2023,21:00,22:00,363.12
15-11-2023,22:00,23:00,336.62
15-11-2023,23:00,24:00,314.18
16-11-2023,00:00,01:00,292.02
16-11-2023,01:00,02:00,289.04
16-11-2023,02:00,03:00,279.92
16-11-2023,03:00,04:00,292.61
16-11-2023,04:00,05:00,337.48
16-11-2023,05:00,06:00,408.19
16-11-2023,06:00,07:00,454.28
16-11-2023,07:00,08:00,459.37
16-11-2023,08:00,09:00,454.16
16-11-2023,09:00,10:00,444.17
16-11-2023,10:00,11:00,458.93
16-11-2023,11:00,12:00,485.28
16-11-2023,12:00,13:00,517.93
16-11-2023,13:00,14:00,539.83
16-11-2023,14:00,15:00,570.14
16-11-2023,15:00,16:00,575.25
16-11-2023,16:00,17:00,563.38
16-11-2023,17:00,18:00,564.89
16-11-2023,18:00,19:00,569.12
16-11-2023,19:00,20:00,570.08
16-11-2023,20:00,21:00,557.08
16-11-2023,21:00,22:00,549.65
16-11-2023,22:00,23:00,539.14
16-11-2023,23:00,24:00,545.53
17-11-2023,00:00,01:00,543.01
17-11-2023,01:00,02:00,524.1
17-11-2023,02:00,03:00,502.46
17-11-2023,03:00,04:00,488.56
17-11-2023,04:00,05:00,506.91
17-11-2023,05:00,06:00,524.58
17-11-2023,06:00,07:00,548.55
17-11-2023,07:00,08:00,549.97
17-11-2023,08:00,09:00,535.23
17-11-2023,09:00,10:00,515.54
17-11-2023,10:00,11:00,506.01
17-11-2023,11:00,12:00,503.95
17-11-2023,12:00,13:00,514.82
17-11-2023,13:00,14:00,544.74
17-11-2023,14:00,15:00,563.83
17-11-2023,15:00,16:00,575.82
17-11-2023,16:00,17:00,571.32
17-11-2023,17:00,18:00,575.43
17-11-2023,18:00,19:00,580.6
17-11-2023,19:00,20:00,592.17
17-11-2023,20:00,21:00,596.81
17-11-2023,21:00,22:00,582.89
17-11-2023,22:00,23:00,567.4
17-11-2023,23:00,24:00,531.56
18-11-2023,00:00,01:00,515.56
18-11-2023,01:00,02:00,488.48
18-11-2023,02:00,03:00,457.01
18-11-2023,03:00,04:00,440.56
18-11-2023,04:00,05:00,423.49
18-11-2023,05:00,06:00,430.53
18-11-2023,06:00,07:00,439.47
18-11-2023,07:00,08:00,414.78
18-11-2023,08:00,09:00,372.96
18-11-2023,09:00,10:00,359.14
18-11-2023,10:00,11:00,343.21
