date, start, end, forecast, actual, index
2024/02/19, 00:00, 00:30, 89, 83, low
2024/02/19, 00:30, 01:00, 87, 78, low
2024/02/19, 01:00, 01:30, 79, 78, low
2024/02/19, 01:30, 02:00, 72, 75, low
2024/02/19, 02:00, 02:30, 73, 68, low
2024/02/19, 02:30, 03:00, 75, 71, low
2024/02/19, 03:00, 03:30, 64, 63, low
2024/02/19, 03:30, 04:00, 68, 67, low
2024/02/19, 04:00, 04:30, 71, 71, low
2024/02/19, 04:30, 05:00, 67, 65, low
2024/02/19, 05:00, 05:30, 70, 72, low
2024/02/19, 05:30, 06:00, 63, 73, low
2024/02/19, 06:00, 06:30, 72, 82, low
2024/02/19, 06:30, 07:00, 75, 97, low
2024/02/19, 07:00, 07:30, 75, 107, low
2024/02/19, 07:30, 08:00, 91, 109, low
2024/02/19, 08:00, 08:30, 95, 106, low
2024/02/19, 08:30, 09:00, 103, 104, low
2024/02/19, 09:00, 09:30, 97, 97, low
2024/02/19, 09:30, 10:00, 98, 92, low
2024/02/19, 10:00, 10:30, 92, 86, low
