date,start,end,actual
26/11/2023,00:00,01:00,192.68
26/11/2023,01:00,02:00,192.53
26/11/2023,02:00,03:00,191.09
26/11/2023,03:00,04:00,191.34
26/11/2023,04:00,05:00,197.59
26/11/2023,05:00,06:00,197.8
26/11/2023,06:00,07:00,200.87
26/11/2023,07:00,08:00,218.56
26/11/2023,08:00,09:00,219.92
26/11/2023,09:00,10:00,219.23
26/11/2023,10:00,11:00,216.21
26/11/2023,11:00,12:00,216.06
26/11/2023,12:00,13:00,221.25
26/11/2023,13:00,14:00,223.63
26/11/2023,14:00,15:00,230.65
26/11/2023,15:00,16:00,233.51
26/11/2023,16:00,17:00,230.29
26/11/2023,17:00,18:00,231.13
26/11/2023,18:00,19:00,230.52
26/11/2023,19:00,20:00,225.36
26/11/2023,20:00,21:00,218.59
26/11/2023,21:00,22:00,198.21
26/11/2023,22:00,23:00,189.57
26/11/2023,23:00,00:00,163.73
27/11/2023,00:00,01:00,159.38
27/11/2023,01:00,02:00,158.37
27/11/2023,02:00,03:00,158.5
27/11/2023,03:00,04:00,157.36
27/11/2023,04:00,05:00,160.53
27/11/2023,05:00,06:00,189.97
27/11/2023,06:00,07:00,232.86
27/11/2023,07:00,08:00,232.02
27/11/2023,08:00,09:00,218.27
27/11/2023,09:00,10:00,210.27
27/11/2023,10:00,11:00,205.07
27/11/2023,11:00,12:00,199.96
27/11/2023,12:00,13:00,194.75
27/11/2023,13:00,14:00,192.81
27/11/2023,14:00,15:00,186.76
27/11/2023,15:00,16:00,176.3
27/11/2023,16:00,17:00,177.17
27/11/2023,17:00,18:00,179.02
27/11/2023,18:00,19:00,175.53
27/11/2023,19:00,20:00,164.94
27/11/2023,20:00,21:00,149.34
27/11/2023,21:00,22:00,129.17
27/11/2023,22:00,23:00,113.03
27/11/2023,23:00,00:00,90.63
28/11/2023,00:00,01:00,94.49
28/11/2023,01:00,02:00,96.81
28/11/2023,02:00,03:00,107.73
28/11/2023,03:00,04:00,119.77
28/11/2023,04:00,05:00,123.58
28/11/2023,05:00,06:00,159.34
28/11/2023,06:00,07:00,220.27
28/11/2023,07:00,08:00,239.54
28/11/2023,08:00,09:00,240.36
28/11/2023,09:00,10:00,234.48
28/11/2023,10:00,11:00,227.15
28/11/2023,11:00,12:00,210.88
28/11/2023,12:00,13:00,206.97
28/11/2023,13:00,14:00,214.5
28/11/2023,14:00,15:00,213.57
28/11/2023,15:00,16:00,221.83
28/11/2023,16:00,17:00,219.69
28/11/2023,17:00,18:00,217.23
28/11/2023,18:00,19:00,210.52
28/11/2023,19:00,20:00,206.48
28/11/2023,20:00,21:00,200.96
28/11/2023,21:00,22:00,187.77
28/11/2023,22:00,23:00,176.27
28/11/2023,23:00,00:00,164.21
