start,end,actual
00:00,01:00,141.92466666666667
01:00,02:00,139.507
02:00,03:00,140.608
03:00,04:00,144.0896666666667
04:00,05:00,152.84
05:00,06:00,161.8046666666667
06:00,07:00,159.28833333333333
07:00,08:00,151.75
08:00,09:00,141.00900000000001
09:00,10:00,129.41266666666667
10:00,11:00,120.50166666666668
11:00,12:00,115.66566666666667
12:00,13:00,112.20433333333334
13:00,14:00,112.64933333333333
14:00,15:00,119.08033333333333
15:00,16:00,133.93633333333335
16:00,17:00,152.85
17:00,18:00,164.91400000000002
18:00,19:00,171.96466666666666
19:00,20:00,172.27266666666668
20:00,21:00,170.09133333333332
21:00,22:00,164.10966666666667
22:00,23:00,142.934
23:00,00:00,140.996
