start,end,actual
00:00,01:00,138.61193548387098
01:00,02:00,136.18967741935484
02:00,03:00,135.03967741935483
03:00,04:00,136.61548387096775
04:00,05:00,143.26451612903224
05:00,06:00,152.1048387096774
06:00,07:00,152.38548387096773
07:00,08:00,143.23032258064518
08:00,09:00,133.11322580645162
09:00,10:00,127.65193548387097
10:00,11:00,122.75193548387097
11:00,12:00,119.4241935483871
12:00,13:00,117.45774193548387
13:00,14:00,118.74193548387096
14:00,15:00,124.25419354838711
15:00,16:00,138.73096774193547
16:00,17:00,156.07967741935485
17:00,18:00,169.96387096774194
18:00,19:00,178.95322580645163
19:00,20:00,182.17903225806452
20:00,21:00,176.7425806451613
21:00,22:00,169.20322580645163
22:00,23:00,149.46516129032258
23:00,00:00,144.14935483870968
