start,end,actual
00:00,01:00,95.34032258064516
01:00,02:00,94.0716129032258
02:00,03:00,91.18354838709678
03:00,04:00,90.83451612903225
04:00,05:00,92.76677419354839
05:00,06:00,101.53032258064516
06:00,07:00,117.74774193548386
07:00,08:00,124.55741935483871
08:00,09:00,122.58516129032257
09:00,10:00,120.46806451612903
10:00,11:00,118.59
11:00,12:00,116.34096774193547
12:00,13:00,117.54903225806451
13:00,14:00,117.93483870967742
14:00,15:00,122.80709677419355
15:00,16:00,126.44999999999999
16:00,17:00,132.6451612903226
17:00,18:00,133.89096774193547
18:00,19:00,129.00935483870967
19:00,20:00,123.55935483870968
20:00,21:00,114.49032258064516
21:00,22:00,104.1374193548387
22:00,23:00,95.70645161290322
23:00,00:00,87.14193548387097
