start,end,actual
00:00,01:00,124.10785714285714
01:00,02:00,124.43464285714286
02:00,03:00,123.90214285714285
03:00,04:00,123.58749999999999
04:00,05:00,126.77964285714286
05:00,06:00,135.69392857142856
06:00,07:00,154.0614285714286
07:00,08:00,165.23035714285714
08:00,09:00,159.9675
09:00,10:00,152.28821428571428
10:00,11:00,145.72964285714286
11:00,12:00,140.22464285714287
12:00,13:00,137.48499999999999
13:00,14:00,139.14392857142857
14:00,15:00,145.35035714285715
15:00,16:00,159.12964285714287
16:00,17:00,172.00500000000002
17:00,18:00,177.38750000000002
18:00,19:00,176.94178571428571
19:00,20:00,174.2575
20:00,21:00,169.6025
21:00,22:00,158.14142857142858
22:00,23:00,145.64249999999998
23:00,00:00,129.01785714285714
