start,end,actual
00:00,01:00,124.8192602739726
01:00,02:00,123.45446575342466
02:00,03:00,122.72772602739727
03:00,04:00,124.36572602739726
04:00,05:00,129.43564383561645
05:00,06:00,137.71430136986302
06:00,07:00,144.6893424657534
07:00,08:00,142.9064383561644
08:00,09:00,136.21391780821918
09:00,10:00,129.28608219178082
10:00,11:00,123.69723287671232
11:00,12:00,120.21591780821917
12:00,13:00,118.56424657534245
13:00,14:00,120.21687671232878
14:00,15:00,126.86246575342467
15:00,16:00,138.579698630137
16:00,17:00,152.58230136986302
17:00,18:00,161.4512602739726
18:00,19:00,163.6793698630137
19:00,20:00,161.89723287671234
20:00,21:00,157.0746301369863
21:00,22:00,147.31446575342466
22:00,23:00,131.78342465753423
23:00,00:00,124.79301369863013
