start,end,actual
00:00,01:00,163.56633333333332
01:00,02:00,163.37800000000001
02:00,03:00,165.22400000000002
03:00,04:00,167.58866666666665
04:00,05:00,170.07999999999998
05:00,06:00,166.21733333333336
06:00,07:00,158.16899999999998
07:00,08:00,144.97266666666667
08:00,09:00,133.9226666666667
09:00,10:00,125.00566666666667
10:00,11:00,118.11666666666666
11:00,12:00,112.393
12:00,13:00,109.39033333333333
13:00,14:00,111.82933333333334
14:00,15:00,118.702
15:00,16:00,131.42433333333332
16:00,17:00,150.4006666666667
17:00,18:00,164.924
18:00,19:00,173.6173333333333
19:00,20:00,179.029
20:00,21:00,181.74233333333333
21:00,22:00,178.025
22:00,23:00,165.13633333333334
23:00,00:00,162.98533333333336
