start,end,actual
00:00,01:00,126.72354838709677
01:00,02:00,126.11612903225806
02:00,03:00,124.80290322580645
03:00,04:00,124.0583870967742
04:00,05:00,127.59677419354838
05:00,06:00,137.7590322580645
06:00,07:00,151.4535483870968
07:00,08:00,153.11064516129034
08:00,09:00,148.65064516129033
09:00,10:00,141.81548387096774
10:00,11:00,136.13774193548386
11:00,12:00,132.76290322580644
12:00,13:00,130.45322580645163
13:00,14:00,131.85709677419356
14:00,15:00,136.6016129032258
15:00,16:00,144.67387096774195
16:00,17:00,159.45709677419356
17:00,18:00,169.88612903225808
18:00,19:00,174.31548387096774
19:00,20:00,168.95290322580644
20:00,21:00,161.31032258064516
21:00,22:00,147.43967741935484
22:00,23:00,132.90516129032258
23:00,00:00,121.44999999999999
