start,end,actual
00:00,01:00,135.77806451612904
01:00,02:00,133.94967741935483
02:00,03:00,133.3948387096774
03:00,04:00,138.6448387096774
04:00,05:00,146.65387096774194
05:00,06:00,153.41870967741937
06:00,07:00,151.04709677419356
07:00,08:00,139.9625806451613
08:00,09:00,130.57225806451612
09:00,10:00,123.45774193548387
10:00,11:00,117.01741935483871
11:00,12:00,113.95193548387095
12:00,13:00,109.17
13:00,14:00,107.98645161290322
14:00,15:00,112.33064516129032
15:00,16:00,124.69225806451612
16:00,17:00,141.00096774193548
17:00,18:00,153.27129032258065
18:00,19:00,160.82999999999998
19:00,20:00,166.32064516129032
20:00,21:00,167.81806451612903
21:00,22:00,163.3832258064516
22:00,23:00,139.73870967741934
23:00,00:00,137.36935483870968
