start,end,actual
00:00,01:00,133.73166666666665
01:00,02:00,130.29533333333333
02:00,03:00,127.76133333333334
03:00,04:00,131.897
04:00,05:00,141.81466666666665
05:00,06:00,154.42133333333334
06:00,07:00,157.57166666666666
07:00,08:00,145.65366666666665
08:00,09:00,134.81466666666668
09:00,10:00,125.66766666666666
10:00,11:00,119.10600000000001
11:00,12:00,115.14766666666667
12:00,13:00,113.264
13:00,14:00,117.72333333333333
14:00,15:00,129.805
15:00,16:00,147.71766666666664
16:00,17:00,167.05433333333335
17:00,18:00,177.84766666666667
18:00,19:00,180.32466666666667
19:00,20:00,172.93733333333333
20:00,21:00,166.1063333333333
21:00,22:00,153.58133333333333
22:00,23:00,135.62066666666666
23:00,00:00,130.05
