date,start,end,actual
2023-11-27,00:00,01:00,597.45
2023-11-27,01:00,02:00,607.67
2023-11-27,02:00,03:00,578.08
2023-11-27,03:00,04:00,565.76
2023-11-27,04:00,05:00,568.99
2023-11-27,05:00,06:00,554.82
2023-11-27,06:00,07:00,557.06
2023-11-27,07:00,08:00,544.3
2023-11-27,08:00,09:00,527.69
2023-11-27,09:00,10:00,504.67
2023-11-27,10:00,11:00,481.15
2023-11-27,11:00,12:00,461.55
2023-11-27,12:00,13:00,457.0
2023-11-27,13:00,14:00,463.68
2023-11-27,14:00,15:00,453.5
2023-11-27,15:00,16:00,443.65
2023-11-27,16:00,17:00,443.3
2023-11-27,17:00,18:00,447.75
2023-11-27,18:00,19:00,452.09
2023-11-27,19:00,20:00,450.73
2023-11-27,20:00,21:00,439.45
2023-11-27,21:00,22:00,432.48
2023-11-27,22:00,23:00,411.06
2023-11-27,23:00,24:00,370.93
