date,start,end,actual
2023-09-03,00:00,01:00,323.23434782608695
2023-09-03,01:00,02:00,319.8791304347826
2023-09-03,02:00,03:00,320.60989130434785
2023-09-03,03:00,04:00,322.9272826086957
2023-09-03,04:00,05:00,319.23347826086956
2023-09-03,05:00,06:00,303.89728260869566
2023-09-03,06:00,07:00,278.82695652173913
2023-09-03,07:00,08:00,246.25891304347826
2023-09-03,08:00,09:00,214.08847826086955
2023-09-03,09:00,10:00,191.71532608695654
2023-09-03,10:00,11:00,181.59576086956523
2023-09-03,11:00,12:00,178.37771739130434
2023-09-03,12:00,13:00,181.5054347826087
2023-09-03,13:00,14:00,190.06597826086957
2023-09-03,14:00,15:00,209.00021739130435
2023-09-03,15:00,16:00,243.24891304347827
2023-09-03,16:00,17:00,289.75195652173915
2023-09-03,17:00,18:00,329.7092391304348
2023-09-03,18:00,19:00,356.5944565217392
2023-09-03,19:00,20:00,365.0946739130435
2023-09-03,20:00,21:00,362.7677173913043
2023-09-03,21:00,22:00,355.47478260869565
2023-09-03,22:00,23:00,339.31858695652176
2023-09-03,23:00,24:00,328.75097826086954
