date,start,end,actual
2023-07-03,00:00,01:00,337.9948913043478
2023-07-03,01:00,02:00,337.8469565217391
2023-07-03,02:00,03:00,340.11021739130433
2023-07-03,03:00,04:00,346.3383695652174
2023-07-03,04:00,05:00,351.58793478260867
2023-07-03,05:00,06:00,350.26010869565215
2023-07-03,06:00,07:00,336.10565217391303
2023-07-03,07:00,08:00,308.1509782608696
2023-07-03,08:00,09:00,276.86902173913046
2023-07-03,09:00,10:00,252.78434782608696
2023-07-03,10:00,11:00,240.14152173913044
2023-07-03,11:00,12:00,233.7304347826087
2023-07-03,12:00,13:00,234.04065217391306
2023-07-03,13:00,14:00,243.0901086956522
2023-07-03,14:00,15:00,262.1090217391304
2023-07-03,15:00,16:00,297.1747826086957
2023-07-03,16:00,17:00,342.11967391304347
2023-07-03,17:00,18:00,373.07173913043476
2023-07-03,18:00,19:00,382.54945652173916
2023-07-03,19:00,20:00,378.38880434782607
2023-07-03,20:00,21:00,371.8003260869565
2023-07-03,21:00,22:00,360.86532608695654
2023-07-03,22:00,23:00,347.21271739130435
2023-07-03,23:00,24:00,337.5326086956522
