date,start,end,actual
2023-12-03,00:00,01:00,337.80175824175825
2023-12-03,01:00,02:00,335.90142857142854
2023-12-03,02:00,03:00,336.5213186813187
2023-12-03,03:00,04:00,344.35967032967034
2023-12-03,04:00,05:00,353.5374725274725
2023-12-03,05:00,06:00,359.49868131868135
2023-12-03,06:00,07:00,352.2476923076923
2023-12-03,07:00,08:00,330.8242857142857
2023-12-03,08:00,09:00,302.36923076923074
2023-12-03,09:00,10:00,278.66692307692307
2023-12-03,10:00,11:00,266.3840659340659
2023-12-03,11:00,12:00,263.68296703296704
2023-12-03,12:00,13:00,270.3756043956044
2023-12-03,13:00,14:00,289.9475824175824
2023-12-03,14:00,15:00,322.3618681318681
2023-12-03,15:00,16:00,363.5782417582418
2023-12-03,16:00,17:00,391.8878021978022
2023-12-03,17:00,18:00,401.9363736263736
2023-12-03,18:00,19:00,396.6056043956044
2023-12-03,19:00,20:00,385.4081318681319
2023-12-03,20:00,21:00,375.4374725274725
2023-12-03,21:00,22:00,367.1584615384615
2023-12-03,22:00,23:00,356.43670329670334
2023-12-03,23:00,24:00,346.5036263736264
