date,start,end,actual
2023-09-03,00:00,01:00,24.666847826086954
2023-09-03,01:00,02:00,23.649021739130436
2023-09-03,02:00,03:00,23.042065217391304
2023-09-03,03:00,04:00,23.33836956521739
2023-09-03,04:00,05:00,24.678478260869564
2023-09-03,05:00,06:00,25.249782608695654
2023-09-03,06:00,07:00,25.208152173913046
2023-09-03,07:00,08:00,23.610978260869565
2023-09-03,08:00,09:00,21.74532608695652
2023-09-03,09:00,10:00,19.723260869565216
2023-09-03,10:00,11:00,19.065
2023-09-03,11:00,12:00,18.047391304347826
2023-09-03,12:00,13:00,17.54489130434783
2023-09-03,13:00,14:00,17.10391304347826
2023-09-03,14:00,15:00,17.007391304347827
2023-09-03,15:00,16:00,19.27195652173913
2023-09-03,16:00,17:00,23.96728260869565
2023-09-03,17:00,18:00,28.616956521739134
2023-09-03,18:00,19:00,30.745217391304347
2023-09-03,19:00,20:00,30.46771739130435
2023-09-03,20:00,21:00,30.73228260869565
2023-09-03,21:00,22:00,30.524347826086956
2023-09-03,22:00,23:00,27.85467391304348
2023-09-03,23:00,24:00,25.211739130434783
