date,start,end,actual
2023-04-03,00:00,01:00,46.022444444444446
2023-04-03,01:00,02:00,46.119
2023-04-03,02:00,03:00,44.190555555555555
2023-04-03,03:00,04:00,43.068555555555555
2023-04-03,04:00,05:00,44.20366666666666
2023-04-03,05:00,06:00,46.58488888888889
2023-04-03,06:00,07:00,48.53422222222222
2023-04-03,07:00,08:00,49.03511111111111
2023-04-03,08:00,09:00,48.64077777777778
2023-04-03,09:00,10:00,46.91566666666667
2023-04-03,10:00,11:00,44.84533333333333
2023-04-03,11:00,12:00,43.029444444444444
2023-04-03,12:00,13:00,41.47933333333333
2023-04-03,13:00,14:00,41.757555555555555
2023-04-03,14:00,15:00,42.37222222222222
2023-04-03,15:00,16:00,43.43877777777777
2023-04-03,16:00,17:00,45.934000000000005
2023-04-03,17:00,18:00,50.025444444444446
2023-04-03,18:00,19:00,51.814
2023-04-03,19:00,20:00,51.077666666666666
2023-04-03,20:00,21:00,49.53255555555556
2023-04-03,21:00,22:00,49.193888888888885
2023-04-03,22:00,23:00,49.58811111111111
2023-04-03,23:00,24:00,47.276
