date,start,end,actual
2023-07-03,00:00,01:00,32.309347826086956
2023-07-03,01:00,02:00,31.23304347826087
2023-07-03,02:00,03:00,30.135760869565214
2023-07-03,03:00,04:00,30.207282608695653
2023-07-03,04:00,05:00,32.39695652173913
2023-07-03,05:00,06:00,34.53358695652174
2023-07-03,06:00,07:00,35.18717391304347
2023-07-03,07:00,08:00,34.01695652173913
2023-07-03,08:00,09:00,31.3625
2023-07-03,09:00,10:00,28.28478260869565
2023-07-03,10:00,11:00,26.526521739130434
2023-07-03,11:00,12:00,24.52804347826087
2023-07-03,12:00,13:00,23.494565217391305
2023-07-03,13:00,14:00,23.365760869565218
2023-07-03,14:00,15:00,23.495326086956524
2023-07-03,15:00,16:00,24.969021739130437
2023-07-03,16:00,17:00,29.148152173913044
2023-07-03,17:00,18:00,34.59054347826087
2023-07-03,18:00,19:00,37.36086956521739
2023-07-03,19:00,20:00,36.825
2023-07-03,20:00,21:00,35.70141304347826
2023-07-03,21:00,22:00,36.039891304347826
2023-07-03,22:00,23:00,34.315652173913044
2023-07-03,23:00,24:00,31.95880434782609
