date,start,end,actual
2023-09-03,00:00,01:00,266.09043478260867
2023-09-03,01:00,02:00,261.2885869565217
2023-09-03,02:00,03:00,257.89663043478265
2023-09-03,03:00,04:00,257.9347826086956
2023-09-03,04:00,05:00,253.53021739130435
2023-09-03,05:00,06:00,218.38858695652175
2023-09-03,06:00,07:00,187.64673913043478
2023-09-03,07:00,08:00,172.8907608695652
2023-09-03,08:00,09:00,159.30630434782609
2023-09-03,09:00,10:00,149.99021739130436
2023-09-03,10:00,11:00,146.1108695652174
2023-09-03,11:00,12:00,142.88771739130434
2023-09-03,12:00,13:00,141.95858695652174
2023-09-03,13:00,14:00,142.2475
2023-09-03,14:00,15:00,145.45347826086956
2023-09-03,15:00,16:00,155.17771739130436
2023-09-03,16:00,17:00,172.1688043478261
2023-09-03,17:00,18:00,186.76304347826087
2023-09-03,18:00,19:00,216.38489130434783
2023-09-03,19:00,20:00,266.2004347826087
2023-09-03,20:00,21:00,294.4304347826087
2023-09-03,21:00,22:00,292.16869565217394
2023-09-03,22:00,23:00,281.49782608695654
2023-09-03,23:00,24:00,270.4457608695652
