date,start,end,actual
2023-04-03,00:00,01:00,241.477
2023-04-03,01:00,02:00,238.56244444444442
2023-04-03,02:00,03:00,235.4531111111111
2023-04-03,03:00,04:00,234.23999999999998
2023-04-03,04:00,05:00,237.22044444444444
2023-04-03,05:00,06:00,243.74577777777776
2023-04-03,06:00,07:00,254.19977777777777
2023-04-03,07:00,08:00,260.03288888888886
2023-04-03,08:00,09:00,239.00722222222223
2023-04-03,09:00,10:00,197.72333333333333
2023-04-03,10:00,11:00,180.18922222222224
2023-04-03,11:00,12:00,172.1702222222222
2023-04-03,12:00,13:00,169.184
2023-04-03,13:00,14:00,172.07844444444444
2023-04-03,14:00,15:00,183.88611111111112
2023-04-03,15:00,16:00,216.39233333333334
2023-04-03,16:00,17:00,254.37244444444445
2023-04-03,17:00,18:00,272.145
2023-04-03,18:00,19:00,271.23044444444446
2023-04-03,19:00,20:00,266.2847777777778
2023-04-03,20:00,21:00,258.1152222222222
2023-04-03,21:00,22:00,252.54966666666667
2023-04-03,22:00,23:00,248.05922222222225
2023-04-03,23:00,24:00,243.7107777777778
