date,start,end,actual
2023-07-03,00:00,01:00,279.81010869565216
2023-07-03,01:00,02:00,280.39315217391305
2023-07-03,02:00,03:00,280.8957608695652
2023-07-03,03:00,04:00,283.81847826086954
2023-07-03,04:00,05:00,290.55
2023-07-03,05:00,06:00,272.3617391304348
2023-07-03,06:00,07:00,246.56380434782608
2023-07-03,07:00,08:00,219.6591304347826
2023-07-03,08:00,09:00,206.0875
2023-07-03,09:00,10:00,200.42847826086958
2023-07-03,10:00,11:00,196.5213043478261
2023-07-03,11:00,12:00,192.75706521739133
2023-07-03,12:00,13:00,189.745
2023-07-03,13:00,14:00,187.1388043478261
2023-07-03,14:00,15:00,185.09228260869568
2023-07-03,15:00,16:00,187.93826086956523
2023-07-03,16:00,17:00,199.49032608695651
2023-07-03,17:00,18:00,223.88152173913042
2023-07-03,18:00,19:00,263.46065217391305
2023-07-03,19:00,20:00,293.2946739130435
2023-07-03,20:00,21:00,294.30902173913046
2023-07-03,21:00,22:00,290.0251086956522
2023-07-03,22:00,23:00,281.7132608695652
2023-07-03,23:00,24:00,276.9483695652174
