date,start,end,actual
2023-12-03,00:00,01:00,217.13384615384615
2023-12-03,01:00,02:00,214.96670329670332
2023-12-03,02:00,03:00,214.82967032967034
2023-12-03,03:00,04:00,216.62120879120877
2023-12-03,04:00,05:00,224.5701098901099
2023-12-03,05:00,06:00,236.11483516483517
2023-12-03,06:00,07:00,229.34351648351645
2023-12-03,07:00,08:00,201.70505494505494
2023-12-03,08:00,09:00,166.9079120879121
2023-12-03,09:00,10:00,144.40923076923076
2023-12-03,10:00,11:00,135.51681318681318
2023-12-03,11:00,12:00,132.19153846153847
2023-12-03,12:00,13:00,131.91945054945054
2023-12-03,13:00,14:00,137.67351648351647
2023-12-03,14:00,15:00,153.25351648351648
2023-12-03,15:00,16:00,188.42285714285714
2023-12-03,16:00,17:00,230.72857142857143
2023-12-03,17:00,18:00,261.2810989010989
2023-12-03,18:00,19:00,276.63714285714286
2023-12-03,19:00,20:00,267.7926373626374
2023-12-03,20:00,21:00,256.4408791208791
2023-12-03,21:00,22:00,244.79439560439562
2023-12-03,22:00,23:00,233.49549450549452
2023-12-03,23:00,24:00,221.389010989011
