date,start,end,actual
2023-09-03,00:00,01:00,380.48554347826087
2023-09-03,01:00,02:00,398.2078260869566
2023-09-03,02:00,03:00,390.4043478260869
2023-09-03,03:00,04:00,376.754347826087
2023-09-03,04:00,05:00,364.79391304347826
2023-09-03,05:00,06:00,351.5164130434782
2023-09-03,06:00,07:00,340.14271739130436
2023-09-03,07:00,08:00,336.27163043478265
2023-09-03,08:00,09:00,336.9183695652174
2023-09-03,09:00,10:00,341.11347826086956
2023-09-03,10:00,11:00,348.85456521739127
2023-09-03,11:00,12:00,358.72141304347826
2023-09-03,12:00,13:00,353.66445652173917
2023-09-03,13:00,14:00,326.1258695652174
2023-09-03,14:00,15:00,309.64478260869566
2023-09-03,15:00,16:00,318.6202173913044
2023-09-03,16:00,17:00,334.7659782608696
2023-09-03,17:00,18:00,346.9857608695652
2023-09-03,18:00,19:00,353.31010869565216
2023-09-03,19:00,20:00,356.4369565217391
2023-09-03,20:00,21:00,356.71423913043475
2023-09-03,21:00,22:00,356.3688043478261
2023-09-03,22:00,23:00,356.2967391304348
2023-09-03,23:00,24:00,360.7605434782609
