date,start,end,actual
2023-04-03,00:00,01:00,333.52222222222224
2023-04-03,01:00,02:00,319.455
2023-04-03,02:00,03:00,307.06533333333334
2023-04-03,03:00,04:00,295.8931111111111
2023-04-03,04:00,05:00,285.35900000000004
2023-04-03,05:00,06:00,274.59922222222224
2023-04-03,06:00,07:00,268.5424444444444
2023-04-03,07:00,08:00,268.34944444444443
2023-04-03,08:00,09:00,270.51711111111115
2023-04-03,09:00,10:00,275.14844444444446
2023-04-03,10:00,11:00,280.99199999999996
2023-04-03,11:00,12:00,291.50055555555554
2023-04-03,12:00,13:00,307.25044444444444
2023-04-03,13:00,14:00,315.9137777777778
2023-04-03,14:00,15:00,291.729
2023-04-03,15:00,16:00,268.719
2023-04-03,16:00,17:00,259.9681111111111
2023-04-03,17:00,18:00,252.78644444444444
2023-04-03,18:00,19:00,247.15155555555555
2023-04-03,19:00,20:00,243.4671111111111
2023-04-03,20:00,21:00,241.00344444444445
2023-04-03,21:00,22:00,243.34411111111112
2023-04-03,22:00,23:00,267.6264444444445
2023-04-03,23:00,24:00,319.7398888888889
