date,start,end,actual
2023-07-03,00:00,01:00,333.3807608695652
2023-07-03,01:00,02:00,340.8369565217391
2023-07-03,02:00,03:00,324.8242391304348
2023-07-03,03:00,04:00,307.4817391304348
2023-07-03,04:00,05:00,292.5541304347826
2023-07-03,05:00,06:00,278.4482608695652
2023-07-03,06:00,07:00,269.58673913043475
2023-07-03,07:00,08:00,269.35021739130434
2023-07-03,08:00,09:00,274.0051086956522
2023-07-03,09:00,10:00,282.65771739130435
2023-07-03,10:00,11:00,293.6983695652174
2023-07-03,11:00,12:00,309.4872826086957
2023-07-03,12:00,13:00,316.2971739130435
2023-07-03,13:00,14:00,301.2654347826087
2023-07-03,14:00,15:00,283.56608695652176
2023-07-03,15:00,16:00,276.0236956521739
2023-07-03,16:00,17:00,275.9808695652174
2023-07-03,17:00,18:00,277.8205434782609
2023-07-03,18:00,19:00,280.60271739130434
2023-07-03,19:00,20:00,282.7575
2023-07-03,20:00,21:00,286.2285869565217
2023-07-03,21:00,22:00,290.75967391304346
2023-07-03,22:00,23:00,294.9061956521739
2023-07-03,23:00,24:00,305.6586956521739
