date,start,end,actual
2023-12-03,00:00,01:00,397.9548351648352
2023-12-03,01:00,02:00,383.24087912087913
2023-12-03,02:00,03:00,367.2631868131868
2023-12-03,03:00,04:00,355.154945054945
2023-12-03,04:00,05:00,343.8575824175824
2023-12-03,05:00,06:00,332.2064835164835
2023-12-03,06:00,07:00,321.0343956043956
2023-12-03,07:00,08:00,316.99406593406593
2023-12-03,08:00,09:00,316.9451648351648
2023-12-03,09:00,10:00,322.6963736263736
2023-12-03,10:00,11:00,333.04175824175826
2023-12-03,11:00,12:00,347.9561538461538
2023-12-03,12:00,13:00,359.3
2023-12-03,13:00,14:00,344.53758241758237
2023-12-03,14:00,15:00,314.65362637362637
2023-12-03,15:00,16:00,310.42593406593403
2023-12-03,16:00,17:00,314.0978021978022
2023-12-03,17:00,18:00,317.43835164835167
2023-12-03,18:00,19:00,320.7753846153846
2023-12-03,19:00,20:00,324.0004395604396
2023-12-03,20:00,21:00,326.41285714285715
2023-12-03,21:00,22:00,332.05934065934065
2023-12-03,22:00,23:00,350.7040659340659
2023-12-03,23:00,24:00,387.7742857142857
