date,start,end,actual
01-08-2023,00:00,01:00,82.28
01-08-2023,01:00,02:00,79.86
01-08-2023,02:00,03:00,83.1
01-08-2023,03:00,04:00,83.0
01-08-2023,04:00,05:00,82.29
01-08-2023,05:00,06:00,91.7
01-08-2023,06:00,07:00,117.74
01-08-2023,07:00,08:00,111.71
01-08-2023,08:00,09:00,103.74
01-08-2023,09:00,10:00,105.45
01-08-2023,10:00,11:00,107.39
01-08-2023,11:00,12:00,105.88
01-08-2023,12:00,13:00,106.72
01-08-2023,13:00,14:00,120.84
01-08-2023,14:00,15:00,134.49
01-08-2023,15:00,16:00,160.53
01-08-2023,16:00,17:00,175.15
01-08-2023,17:00,18:00,186.75
01-08-2023,18:00,19:00,192.97
01-08-2023,19:00,20:00,193.04
01-08-2023,20:00,21:00,187.62
01-08-2023,21:00,22:00,188.89
01-08-2023,22:00,23:00,143.56
01-08-2023,23:00,24:00,103.98
02-08-2023,00:00,01:00,100.33
02-08-2023,01:00,02:00,88.83
02-08-2023,02:00,03:00,87.05
02-08-2023,03:00,04:00,87.18
02-08-2023,04:00,05:00,86.96
02-08-2023,05:00,06:00,88.73
02-08-2023,06:00,07:00,81.51
02-08-2023,07:00,08:00,79.82
02-08-2023,08:00,09:00,69.22
02-08-2023,09:00,10:00,70.57
02-08-2023,10:00,11:00,72.32
02-08-2023,11:00,12:00,71.25
02-08-2023,12:00,13:00,72.09
02-08-2023,13:00,14:00,74.83
02-08-2023,14:00,15:00,74.59
02-08-2023,15:00,16:00,85.87
02-08-2023,16:00,17:00,98.63
02-08-2023,17:00,18:00,110.97
02-08-2023,18:00,19:00,110.92
02-08-2023,19:00,20:00,103.51
02-08-2023,20:00,21:00,91.59
02-08-2023,21:00,22:00,74.19
02-08-2023,22:00,23:00,65.28
02-08-2023,23:00,24:00,74.65
03-08-2023,00:00,01:00,85.46
03-08-2023,01:00,02:00,82.49
03-08-2023,02:00,03:00,81.16
03-08-2023,03:00,04:00,84.26
03-08-2023,04:00,05:00,94.78
03-08-2023,05:00,06:00,87.8
03-08-2023,06:00,07:00,89.33
03-08-2023,07:00,08:00,78.43
03-08-2023,08:00,09:00,71.45
03-08-2023,09:00,10:00,69.34
03-08-2023,10:00,11:00,71.82
03-08-2023,11:00,12:00,80.65
03-08-2023,12:00,13:00,78.54
03-08-2023,13:00,14:00,81.51
03-08-2023,14:00,15:00,86.59
03-08-2023,15:00,16:00,99.12
03-08-2023,16:00,17:00,121.07
03-08-2023,17:00,18:00,129.57
03-08-2023,18:00,19:00,139.01
03-08-2023,19:00,20:00,143.69
03-08-2023,20:00,21:00,137.41
03-08-2023,21:00,22:00,129.42
03-08-2023,22:00,23:00,117.11
03-08-2023,23:00,24:00,116.8
04-08-2023,00:00,01:00,122.43
04-08-2023,01:00,02:00,115.42
04-08-2023,02:00,03:00,109.04
04-08-2023,03:00,04:00,118.82
04-08-2023,04:00,05:00,126.55
04-08-2023,05:00,06:00,149.76
04-08-2023,06:00,07:00,157.15
04-08-2023,07:00,08:00,150.42
04-08-2023,08:00,09:00,149.51
04-08-2023,09:00,10:00,151.52
04-08-2023,10:00,11:00,145.54
04-08-2023,11:00,12:00,146.18
04-08-2023,12:00,13:00,149.09
04-08-2023,13:00,14:00,145.85
04-08-2023,14:00,15:00,153.02
04-08-2023,15:00,16:00,175.05
04-08-2023,16:00,17:00,187.17
04-08-2023,17:00,18:00,204.91
04-08-2023,18:00,19:00,217.32
04-08-2023,19:00,20:00,225.71
04-08-2023,20:00,21:00,225.26
04-08-2023,21:00,22:00,223.83
04-08-2023,22:00,23:00,234.94
04-08-2023,23:00,24:00,226.21
05-08-2023,00:00,01:00,208.06
05-08-2023,01:00,02:00,199.61
05-08-2023,02:00,03:00,193.26
05-08-2023,03:00,04:00,187.71
05-08-2023,04:00,05:00,179.64
05-08-2023,05:00,06:00,160.12
05-08-2023,06:00,07:00,147.92
05-08-2023,07:00,08:00,146.52
05-08-2023,08:00,09:00,144.8
05-08-2023,09:00,10:00,148.8
05-08-2023,10:00,11:00,145.21
05-08-2023,11:00,12:00,131.9
05-08-2023,12:00,13:00,117.35
05-08-2023,13:00,14:00,113.23
05-08-2023,14:00,15:00,125.76
05-08-2023,15:00,16:00,134.49
05-08-2023,16:00,17:00,141.34
05-08-2023,17:00,18:00,146.95
05-08-2023,18:00,19:00,153.49
05-08-2023,19:00,20:00,156.38
05-08-2023,20:00,21:00,143.36
05-08-2023,21:00,22:00,123.95
05-08-2023,22:00,23:00,79.77
05-08-2023,23:00,24:00,75.86
06-08-2023,00:00,01:00,79.24
06-08-2023,01:00,02:00,81.94
06-08-2023,02:00,03:00,83.96
06-08-2023,03:00,04:00,87.6
06-08-2023,04:00,05:00,86.46
06-08-2023,05:00,06:00,86.37
06-08-2023,06:00,07:00,77.73
06-08-2023,07:00,08:00,68.37
06-08-2023,08:00,09:00,59.17
06-08-2023,09:00,10:00,56.13
06-08-2023,10:00,11:00,55.24
06-08-2023,11:00,12:00,52.69
06-08-2023,12:00,13:00,57.58
06-08-2023,13:00,14:00,56.88
06-08-2023,14:00,15:00,60.71
06-08-2023,15:00,16:00,73.98
06-08-2023,16:00,17:00,84.7
06-08-2023,17:00,18:00,101.12
06-08-2023,18:00,19:00,114.2
06-08-2023,19:00,20:00,119.87
06-08-2023,20:00,21:00,118.22
06-08-2023,21:00,22:00,107.72
06-08-2023,22:00,23:00,83.63
06-08-2023,23:00,24:00,80.65
07-08-2023,00:00,01:00,93.99
07-08-2023,01:00,02:00,89.72
07-08-2023,02:00,03:00,94.6
07-08-2023,03:00,04:00,97.55
07-08-2023,04:00,05:00,109.17
07-08-2023,05:00,06:00,122.02
07-08-2023,06:00,07:00,144.64
07-08-2023,07:00,08:00,133.55
07-08-2023,08:00,09:00,126.75
07-08-2023,09:00,10:00,118.51
07-08-2023,10:00,11:00,110.72
07-08-2023,11:00,12:00,105.63
07-08-2023,12:00,13:00,105.34
07-08-2023,13:00,14:00,107.79
07-08-2023,14:00,15:00,108.99
07-08-2023,15:00,16:00,111.92
07-08-2023,16:00,17:00,126.59
07-08-2023,17:00,18:00,138.51
07-08-2023,18:00,19:00,152.35
07-08-2023,19:00,20:00,161.21
07-08-2023,20:00,21:00,152.16
07-08-2023,21:00,22:00,145.06
07-08-2023,22:00,23:00,91.56
07-08-2023,23:00,24:00,85.96
08-08-2023,00:00,01:00,91.08
08-08-2023,01:00,02:00,88.89
08-08-2023,02:00,03:00,88.67
08-08-2023,03:00,04:00,86.72
08-08-2023,04:00,05:00,106.69
08-08-2023,05:00,06:00,147.7
08-08-2023,06:00,07:00,156.65
08-08-2023,07:00,08:00,139.85
08-08-2023,08:00,09:00,132.19
08-08-2023,09:00,10:00,128.2
08-08-2023,10:00,11:00,116.04
08-08-2023,11:00,12:00,114.04
08-08-2023,12:00,13:00,111.87
08-08-2023,13:00,14:00,114.32
08-08-2023,14:00,15:00,124.56
08-08-2023,15:00,16:00,132.51
08-08-2023,16:00,17:00,141.44
08-08-2023,17:00,18:00,159.07
08-08-2023,18:00,19:00,166.44
08-08-2023,19:00,20:00,180.76
08-08-2023,20:00,21:00,169.98
08-08-2023,21:00,22:00,172.6
08-08-2023,22:00,23:00,132.7
08-08-2023,23:00,24:00,118.84
09-08-2023,00:00,01:00,114.66
09-08-2023,01:00,02:00,108.73
09-08-2023,02:00,03:00,119.73
09-08-2023,03:00,04:00,130.09
09-08-2023,04:00,05:00,150.15
09-08-2023,05:00,06:00,178.15
09-08-2023,06:00,07:00,173.3
09-08-2023,07:00,08:00,158.1
09-08-2023,08:00,09:00,146.7
09-08-2023,09:00,10:00,141.78
09-08-2023,10:00,11:00,139.58
09-08-2023,11:00,12:00,143.1
09-08-2023,12:00,13:00,138.4
09-08-2023,13:00,14:00,140.55
09-08-2023,14:00,15:00,153.98
09-08-2023,15:00,16:00,174.0
09-08-2023,16:00,17:00,197.89
09-08-2023,17:00,18:00,219.6
09-08-2023,18:00,19:00,232.6
09-08-2023,19:00,20:00,240.34
09-08-2023,20:00,21:00,240.48
09-08-2023,21:00,22:00,231.18
09-08-2023,22:00,23:00,218.04
09-08-2023,23:00,24:00,211.89
10-08-2023,00:00,01:00,209.39
10-08-2023,01:00,02:00,208.86
10-08-2023,02:00,03:00,206.12
10-08-2023,03:00,04:00,215.89
10-08-2023,04:00,05:00,212.23
10-08-2023,05:00,06:00,205.16
10-08-2023,06:00,07:00,201.2
10-08-2023,07:00,08:00,177.33
10-08-2023,08:00,09:00,161.91
10-08-2023,09:00,10:00,154.68
10-08-2023,10:00,11:00,148.75
10-08-2023,11:00,12:00,137.01
10-08-2023,12:00,13:00,129.5
10-08-2023,13:00,14:00,134.18
10-08-2023,14:00,15:00,150.26
10-08-2023,15:00,16:00,169.16
10-08-2023,16:00,17:00,178.3
10-08-2023,17:00,18:00,188.94
10-08-2023,18:00,19:00,203.62
10-08-2023,19:00,20:00,207.0
10-08-2023,20:00,21:00,199.75
10-08-2023,21:00,22:00,191.4
10-08-2023,22:00,23:00,154.11
10-08-2023,23:00,24:00,127.96
11-08-2023,00:00,01:00,111.56
11-08-2023,01:00,02:00,101.59
11-08-2023,02:00,03:00,90.38
11-08-2023,03:00,04:00,96.43
11-08-2023,04:00,05:00,105.54
11-08-2023,05:00,06:00,115.98
11-08-2023,06:00,07:00,110.09
11-08-2023,07:00,08:00,93.45
11-08-2023,08:00,09:00,76.81
11-08-2023,09:00,10:00,53.19
11-08-2023,10:00,11:00,39.25
11-08-2023,11:00,12:00,38.98
11-08-2023,12:00,13:00,41.06
11-08-2023,13:00,14:00,47.65
11-08-2023,14:00,15:00,55.66
11-08-2023,15:00,16:00,80.88
11-08-2023,16:00,17:00,122.6
11-08-2023,17:00,18:00,145.52
11-08-2023,18:00,19:00,151.9
11-08-2023,19:00,20:00,156.09
11-08-2023,20:00,21:00,152.15
11-08-2023,21:00,22:00,148.4
11-08-2023,22:00,23:00,129.99
11-08-2023,23:00,24:00,146.38
12-08-2023,00:00,01:00,122.4
12-08-2023,01:00,02:00,103.02
12-08-2023,02:00,03:00,100.7
12-08-2023,03:00,04:00,101.62
