date,start,end,actual
2023-09-03,00:00,01:00,143.7869565217391
2023-09-03,01:00,02:00,142.97565217391303
2023-09-03,02:00,03:00,143.11673913043478
2023-09-03,03:00,04:00,144.7625
2023-09-03,04:00,05:00,148.38228260869565
2023-09-03,05:00,06:00,151.3541304347826
2023-09-03,06:00,07:00,147.74141304347825
2023-09-03,07:00,08:00,137.05902173913043
2023-09-03,08:00,09:00,127.19989130434782
2023-09-03,09:00,10:00,120.44923913043478
2023-09-03,10:00,11:00,115.55206521739132
2023-09-03,11:00,12:00,111.88717391304348
2023-09-03,12:00,13:00,109.33728260869566
2023-09-03,13:00,14:00,110.09336956521739
2023-09-03,14:00,15:00,115.6317391304348
2023-09-03,15:00,16:00,127.46510869565218
2023-09-03,16:00,17:00,142.99423913043478
2023-09-03,17:00,18:00,156.09054347826086
2023-09-03,18:00,19:00,164.4604347826087
2023-09-03,19:00,20:00,170.00076086956523
2023-09-03,20:00,21:00,170.1729347826087
2023-09-03,21:00,22:00,164.56184782608696
2023-09-03,22:00,23:00,148.63858695652175
2023-09-03,23:00,24:00,145.4095652173913
