date,start,end,actual
2023-04-03,00:00,01:00,109.02122222222222
2023-04-03,01:00,02:00,107.76822222222222
2023-04-03,02:00,03:00,105.71611111111112
2023-04-03,03:00,04:00,104.97511111111112
2023-04-03,04:00,05:00,107.417
2023-04-03,05:00,06:00,115.22811111111112
2023-04-03,06:00,07:00,131.94144444444444
2023-04-03,07:00,08:00,141.58333333333334
2023-04-03,08:00,09:00,139.74077777777777
2023-04-03,09:00,10:00,134.795
2023-04-03,10:00,11:00,130.12933333333334
2023-04-03,11:00,12:00,126.50155555555556
2023-04-03,12:00,13:00,125.90033333333334
2023-04-03,13:00,14:00,127.03555555555556
2023-04-03,14:00,15:00,132.72344444444445
2023-04-03,15:00,16:00,141.0212222222222
2023-04-03,16:00,17:00,150.83444444444444
2023-04-03,17:00,18:00,154.28244444444445
2023-04-03,18:00,19:00,151.17088888888887
2023-04-03,19:00,20:00,146.36822222222222
2023-04-03,20:00,21:00,139.49344444444444
2023-04-03,21:00,22:00,129.01855555555557
2023-04-03,22:00,23:00,119.138
2023-04-03,23:00,24:00,107.26233333333334
