date,start,end,actual
2023-07-03,00:00,01:00,134.73141304347826
2023-07-03,01:00,02:00,133.12228260869566
2023-07-03,02:00,03:00,132.85184782608695
2023-07-03,03:00,04:00,135.50532608695653
2023-07-03,04:00,05:00,142.24967391304347
2023-07-03,05:00,06:00,150.8766304347826
2023-07-03,06:00,07:00,153.87141304347827
2023-07-03,07:00,08:00,148.23663043478263
2023-07-03,08:00,09:00,140.0671739130435
2023-07-03,09:00,10:00,131.5853260869565
2023-07-03,10:00,11:00,124.59630434782609
2023-07-03,11:00,12:00,120.84923913043477
2023-07-03,12:00,13:00,117.33097826086957
2023-07-03,13:00,14:00,117.55032608695652
2023-07-03,14:00,15:00,122.70989130434782
2023-07-03,15:00,16:00,134.4395652173913
2023-07-03,16:00,17:00,151.08369565217393
2023-07-03,17:00,18:00,162.66630434782607
2023-07-03,18:00,19:00,169.00489130434784
2023-07-03,19:00,20:00,169.14847826086955
2023-07-03,20:00,21:00,166.36652173913043
2023-07-03,21:00,22:00,158.2478260869565
2023-07-03,22:00,23:00,138.47804347826087
2023-07-03,23:00,24:00,133.18782608695653
