date,start,end,actual
2023-12-03,00:00,01:00,111.24648351648352
2023-12-03,01:00,02:00,109.45857142857142
2023-12-03,02:00,03:00,108.70395604395604
2023-12-03,03:00,04:00,111.66032967032967
2023-12-03,04:00,05:00,119.10263736263737
2023-12-03,05:00,06:00,132.8567032967033
2023-12-03,06:00,07:00,144.92857142857142
2023-12-03,07:00,08:00,144.7379120879121
2023-12-03,08:00,09:00,137.9432967032967
2023-12-03,09:00,10:00,130.44714285714286
2023-12-03,10:00,11:00,124.66153846153847
2023-12-03,11:00,12:00,121.77934065934066
2023-12-03,12:00,13:00,121.88395604395605
2023-12-03,13:00,14:00,126.40373626373626
2023-12-03,14:00,15:00,136.61824175824177
2023-12-03,15:00,16:00,151.58736263736265
2023-12-03,16:00,17:00,165.51945054945057
2023-12-03,17:00,18:00,172.73252747252747
2023-12-03,18:00,19:00,169.8767032967033
2023-12-03,19:00,20:00,161.73208791208793
2023-12-03,20:00,21:00,151.82637362637362
2023-12-03,21:00,22:00,136.9189010989011
2023-12-03,22:00,23:00,120.48131868131867
2023-12-03,23:00,24:00,112.80087912087912
