task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,cpu09,be/b5e676,nf-beb5e676439c5af2ebf8c298d1a5baab,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1700969733258,1700969741000,1700969764000,30742,0,-,62.3,0.0,2908160,11567104,2908160,11571200,690568,9279,248,18,5484544,20480,2,0,/input/data/work/be/b5e676439c5af2ebf8c298d1a5baab,true,-
1,cpu02,d8/d5ecbe,nf-d8d5ecbed40ab6ab06b81976cdc31654,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1700969733117,1700969739000,1700969793000,59883,28000,-,85.4,2.1,2856865792,2877718528,2856865792,2877722624,916296719,25693125,112011,3154,2453504,25702400,59,2820,/input/data/work/d8/d5ecbed40ab6ab06b81976cdc31654,true,-
2,cpu08,8e/1f721b,nf-8e1f721b107536879258d8d00b1821b2,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1700969733188,1700969744000,1700969796000,62812,37000,-,39.0,0.0,5910528,12394496,5910528,12398592,3147403431,5949,48262,20,9752576,16384,312,3771,/input/data/work/8e/1f721b107536879258d8d00b1821b2,true,-
214,cpu10,1a/db621d,nf-1adb621da234739185f8969f2ba4a94f,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1700969799269,1700969800000,1700969809000,9731,3000,-,0.6,0.0,2924544,11567104,2924544,11571200,102513,26543,196,23,4341760,20480,2,2,/input/data/work/1a/db621da234739185f8969f2ba4a94f,true,-
65,cpu01,75/a14132,nf-75a14132abe42f61b66dc4e3514e55d4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1700969768319,1700969769000,1700969828000,59681,57000,-,101.5,0.2,251224064,3017633792,252260352,3048689664,595350971,1730284,1132892,5465,19156992,1998848,3,3,/input/data/work/75/a14132abe42f61b66dc4e3514e55d4,true,-
71,cpu08,cc/5b3e76,nf-cc5b3e7642b4e937f5f727b61f9c9679,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1700969768476,1700969769000,1700969825000,56524,54000,-,103.9,0.2,234835968,2941747200,234856448,3006763008,555724702,1718994,1055481,5487,19546112,2031616,6,5,/input/data/work/cc/5b3e7642b4e937f5f727b61f9c9679,true,-
70,cpu02,32/b0293b,nf-32b0293b74cd9d85d27d3537a633133c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1700969768351,1700969769000,1700969828000,59649,54000,-,100.0,0.2,236597248,2941747200,236875776,3006763008,569676354,1717390,1082838,5479,19238912,2080768,6,5,/input/data/work/32/b0293b74cd9d85d27d3537a633133c,true,-
68,cpu02,de/3bf250,nf-de3bf250db3fa93b3c140dac63e25c03,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1700969768531,1700969769000,1700969831000,62469,60000,-,100.1,0.2,235212800,2941747200,235212800,3006763008,601107255,1719639,1144106,5511,69632,2142208,6,6,/input/data/work/de/3bf250db3fa93b3c140dac63e25c03,true,-
61,cpu09,79/85d5d6,nf-7985d5d6ad2ac177d35d62498db008b1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1700969768292,1700969773000,1700969836000,67708,61000,-,102.8,0.2,289280000,3021828096,293806080,3049439232,633580909,1726383,1207532,5491,69632,2068480,6,7,/input/data/work/79/85d5d6ad2ac177d35d62498db008b1,true,-
72,cpu06,4a/3c8dba,nf-4a3c8dba98dfd34b396c22249d57abce,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1700969768424,1700969776000,1700969835000,66576,57000,-,102.5,0.2,236548096,2941747200,236818432,3006763008,591820557,1719343,1125949,5481,19349504,1998848,6,5,/input/data/work/4a/3c8dba98dfd34b396c22249d57abce,true,-
