task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,cpu02,ec/80a1ea,nf-ec80a1ea4132b01b1a0f7bcf42eb791e,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1701283945847,1701283946000,1701283947000,1153,0,-,80.3,0.0,8728576,32280576,8728576,32284672,690683,9283,248,18,5877760,20480,46,4,/input/data/work/ec/80a1ea4132b01b1a0f7bcf42eb791e,true,-
25,cpu01,6a/de79b1,nf-6ade79b10477f754d309de4d833a2da8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701283950617,1701283951000,1701284176000,225383,221000,-,44.1,0.2,236077056,2941747200,236097536,2942750720,955702107,1768101,1836632,5561,203792384,2138112,158,34,/input/data/work/6a/de79b10477f754d309de4d833a2da8,true,-
7,cpu01,93/697f54,nf-93697f5419dae6b431536e2f4a2a01c6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283953917,1701283955000,1701284192000,238083,224000,-,260.7,1.0,1321775104,3131781120,1339273216,3133194240,15628066894,14824446638,1945465,444406,797962240,654618624,876227,21433,/input/data/work/93/697f5419dae6b431536e2f4a2a01c6,true,-
11,cpu01,36/717d45,nf-36717d45576b63df02922d3e7c6966b0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283951978,1701283953000,1701284195000,243022,231000,-,262.3,1.0,1336160256,3212206080,1355677696,3269132288,16369911938,15529498729,2040435,465221,801468416,686313472,904329,22340,/input/data/work/36/717d45576b63df02922d3e7c6966b0,true,-
41,cpu10,7e/81e43c,nf-7e81e43cd0268c1ec55efb9293fc541a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283957349,1701283959000,1701284217000,259651,245000,-,222.4,1.0,1327579136,3131777024,1353994240,3133222912,14913781156,14149960086,1860445,424686,760721408,618790912,850585,19018,/input/data/work/7e/81e43cd0268c1ec55efb9293fc541a,true,-
35,cpu10,f2/268a56,nf-f2268a567d9b730c389d8159adafe606,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283959929,1701283962000,1701284231000,271071,256000,-,220.2,1.0,1344155648,3131740160,1363959808,3133165568,15268892266,14473060984,1930150,433915,741933056,648863744,856839,19705,/input/data/work/f2/268a567d9b730c389d8159adafe606,true,-
124,cpu01,c5/aa67e7,nf-c5aa67e71fdca430ec56f6a29d543409,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,H3K18ac_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (H3K18ac_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283959634,1701283960000,1701284251000,291366,271000,-,265.1,1.0,1361678336,3131744256,1381961728,3133431808,19610054596,18619309736,2428329,557064,936865792,816914432,1110346,27017,/input/data/work/c5/aa67e71fdca430ec56f6a29d543409,true,-
24,cpu01,09/579269,nf-0957926941aada5f03b98c0d94e17cda,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283956927,1701283958000,1701284276000,319073,290000,-,244.0,1.0,1333407744,3131744256,1369075712,3133435904,19018184611,18029110865,2404805,538669,782839808,816857088,1084106,25621,/input/data/work/09/57926941aada5f03b98c0d94e17cda,true,-
58,cpu09,9a/b38e01,nf-9ab38e016a193f6c2b3f4825369ecbd4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283960707,1701283963000,1701284279000,318293,268000,-,162.3,1.0,1335287808,3131748352,1355382784,3133210624,12049682364,11403797683,1539829,343101,638267392,516972544,669215,13758,/input/data/work/9a/b38e016a193f6c2b3f4825369ecbd4,true,-
66,cpu08,00/9ab545,nf-009ab545daf963e1fd458d3dde6fdd69,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701283958184,1701283961000,1701284306000,347816,304000,-,139.4,1.0,1329016832,3208003584,1341480960,3269128192,11643077577,11018878540,1486103,331741,616738816,498065408,658775,13977,/input/data/work/00/9ab545daf963e1fd458d3dde6fdd69,true,-
