task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
4,hu-worker-c27,29/d10642,nf-29d106425b6ae67526cf6edf53d12810,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD,GCA_002596845.1_ASM259684v1_genomic.fna.gz,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz),COMPLETED,0,-,quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1,1,14400000,-,7516192768,1,1721517653096,1658272825000,1658272826000,-27096,0,-,99.6,0.0,2883584,11575296,2883584,11579392,1426996,8406728,461,1452,0,8421376,2,0,/input/data/work/29/d106425b6ae67526cf6edf53d12810,true,-
18,hu-worker-c34,f1/28dd07,nf-f128dd07402a5afb408a8c84fd6d9857,NFCORE_MAG:MAG:FASTP,ERR260272,NFCORE_MAG:MAG:FASTP (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653008,1658272819000,1658272838000,-15008,19000,-,468.1,1.0,2568761344,3099422720,2568761344,3099426816,758527607,586927826,363,1648,0,586956800,16,60,/input/data/work/f1/28dd07402a5afb408a8c84fd6d9857,true,-
19,hu-worker-c24,63/8683be,nf-638683be4c83e798cf3d698e4a25c8ea,NFCORE_MAG:MAG:FASTP,ERR260271,NFCORE_MAG:MAG:FASTP (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517652826,1658272824000,1658272845000,-7826,21000,-,442.0,1.0,2624696320,3201421312,2624712704,3302105088,739109315,580278035,356,1636,3022848,580304896,39,51,/input/data/work/63/8683be4c83e798cf3d698e4a25c8ea,true,-
17,hu-worker-c42,82/532c4e,nf-82532c4e40e7faade5afabdcc8540d2d,NFCORE_MAG:MAG:FASTQC_RAW,ERR260275,NFCORE_MAG:MAG:FASTQC_RAW (ERR260275),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517652542,1658272819000,1658272856000,3458,36000,-,210.2,0.5,1219018752,5117587456,1220263936,5182603264,960683340,4033101,1843296,12343,4194304,4575232,11,0,/input/data/work/82/532c4e40e7faade5afabdcc8540d2d,true,-
21,hu-worker-c35,40/17c51d,nf-4017c51da10bedca777656a3d01b4f50,NFCORE_MAG:MAG:FASTQC_RAW,ERR260274,NFCORE_MAG:MAG:FASTQC_RAW (ERR260274),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517652948,1658272822000,1658272860000,7052,37000,-,214.6,0.4,1158598656,5045231616,1159938048,5076287488,1031837732,3808055,1982061,11913,0,4333568,7,2,/input/data/work/40/17c51da10bedca777656a3d01b4f50,true,-
28,hu-worker-c35,f9/47bca0,nf-f947bca05cfdff3fc8ae0aefd7ecddbb,NFCORE_MAG:MAG:FASTQC_RAW,ERR260215,NFCORE_MAG:MAG:FASTQC_RAW (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517652594,1658272822000,1658272869000,16406,46000,-,212.1,0.4,1196515328,5185748992,1203585024,5189586944,1452589884,3951194,2804022,12103,0,4538368,8,2,/input/data/work/f9/47bca05cfdff3fc8ae0aefd7ecddbb,true,-
20,hu-worker-c25,2b/06ea1d,nf-2b06ea1d6541011e545b1ff47b5bf7c7,NFCORE_MAG:MAG:FASTP,ERR260247,NFCORE_MAG:MAG:FASTP (ERR260247),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517652918,1658272817000,1658272869000,16082,51000,-,552.6,1.1,2888384512,3258662912,2888384512,3325775872,2242707417,2071354437,714,4066,4194304,2071379968,19,51,/input/data/work/2b/06ea1d6541011e545b1ff47b5bf7c7,true,-
31,hu-worker-c24,97/22b8b1,nf-9722b8b1c0d6a47a5fb4010d6afca23b,NFCORE_MAG:MAG:FASTP,ERR260215,NFCORE_MAG:MAG:FASTP (ERR260215),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653067,1658272824000,1658272868000,14933,43000,-,507.2,1.0,2802823168,3233927168,2802823168,3301040128,1493744082,1396189927,538,3040,0,1396219904,18,112,/input/data/work/97/22b8b1c0d6a47a5fb4010d6afca23b,true,-
8,hu-worker-c42,49/46db3e,nf-4946db3e6b1f1a78a62983a613e015b7,NFCORE_MAG:MAG:FASTP,ERR275251,NFCORE_MAG:MAG:FASTP (ERR275251),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517652888,1658272819000,1658272880000,27112,59000,-,580.9,1.0,2807586816,3282317312,2807586816,3282321408,2854149153,2535975005,861,4776,4194304,2535997440,16,75,/input/data/work/49/46db3e6b1f1a78a62983a613e015b7,true,-
27,hu-worker-c24,e5/efa11a,nf-e5efa11ae97cd944c2e2e3e0e51ee7fd,NFCORE_MAG:MAG:FASTP,ERR260216,NFCORE_MAG:MAG:FASTP (ERR260216),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653207,1658272854000,1658272884000,30793,29000,-,439.9,1.1,2883219456,3368280064,2883219456,3368284160,978119962,887981605,415,2166,0,888008704,13,75,/input/data/work/e5/efa11ae97cd944c2e2e3e0e51ee7fd,true,-
7,hu-worker-c27,a0/9de9a4,nf-a09de9a49eed624f45c4b8a05ff35adf,NFCORE_MAG:MAG:KRONA_DB,-,NFCORE_MAG:MAG:KRONA_DB,COMPLETED,0,-,quay.io/biocontainers/krona:2.7.1--pl526_5,1,14400000,-,7516192768,1,1721517652733,1658272825000,1658272888000,35267,62256,-,82.2,0.7,1898573824,1960337408,1919188992,1981128704,1051919586,1151676189,116563,86112,4096,676917248,217,362,/input/data/work/a0/9de9a49eed624f45c4b8a05ff35adf,true,-
15,hu-worker-c34,2e/85def8,nf-2e85def8cd4f5ba9ac7e999509fc8ab0,NFCORE_MAG:MAG:FASTQC_RAW,ERR260158,NFCORE_MAG:MAG:FASTQC_RAW (ERR260158),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517652638,1658272819000,1658272888000,35362,68000,-,206.0,0.4,1192517632,5185748992,1194328064,5187080192,1962216730,4065460,3799392,12214,0,4730880,11,4,/input/data/work/2e/85def8cd4f5ba9ac7e999509fc8ab0,true,-
36,hu-worker-c27,b7/818b5e,nf-b7818b5e742359b8cb682266483a1a2c,NFCORE_MAG:MAG:FASTP,ERR260210,NFCORE_MAG:MAG:FASTP (ERR260210),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517652857,1658272825000,1658272892000,39143,65000,-,601.1,1.1,2989199360,3436920832,2989199360,3504033792,3573355438,3105108962,1034,5628,0,3105132544,11,48,/input/data/work/b7/818b5e742359b8cb682266483a1a2c,true,-
25,hu-worker-c41,29/74a4c9,nf-2974a4c918341ff0bd26a07dec704f3b,NFCORE_MAG:MAG:FASTQC_RAW,ERR260247,NFCORE_MAG:MAG:FASTQC_RAW (ERR260247),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517653037,1658272853000,1658272930000,76963,76000,-,206.3,0.4,1087315968,4901183488,1087315968,4902391808,2201618619,4038164,4266912,12202,19869696,4677632,2,0,/input/data/work/29/74a4c918341ff0bd26a07dec704f3b,true,-
16,hu-worker-c27,3d/37972e,nf-3d37972e751b210dcdf28fd587353283,NFCORE_MAG:MAG:FASTQC_RAW,ERR260246,NFCORE_MAG:MAG:FASTQC_RAW (ERR260246),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517653150,1658272825000,1658272908000,54850,82000,-,205.0,0.4,1169297408,5113393152,1169297408,5176975360,2359976288,3968243,4576060,12167,0,4730880,8,5,/input/data/work/3d/37972e751b210dcdf28fd587353283,true,-
22,hu-worker-c24,c4/917b80,nf-c4917b80b228f97cd4e372f1e01a6f0c,NFCORE_MAG:MAG:FASTQC_RAW,ERR260273,NFCORE_MAG:MAG:FASTQC_RAW (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517653340,1658272875000,1658272906000,52660,30000,-,213.4,0.4,1082433536,4901183488,1082736640,4902850560,745710952,3815271,1423420,11884,4198400,4345856,31,4,/input/data/work/c4/917b80b228f97cd4e372f1e01a6f0c,true,-
2,hu-worker-c28,4e/7bf314,nf-4e7bf314277ce157bc5a8465fc0322e3,NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION,-,NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION,COMPLETED,0,-,ubuntu:20.04,1,14400000,-,7516192768,1,1721517652978,1658272826000,1658272912000,59022,75703,-,124.1,0.0,6971392,11624448,6971392,11640832,13981815297,16037279588,1001147,1027807,802816,8018673664,229825,6500,/input/data/work/4e/7bf314277ce157bc5a8465fc0322e3,true,-
24,hu-worker-c42,41/6dd7e1,nf-416dd7e146279d0ca86e1a1a0bed270d,NFCORE_MAG:MAG:FASTQC_RAW,ERR260271,NFCORE_MAG:MAG:FASTQC_RAW (ERR260271),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517653364,1658272885000,1658272912000,58636,26000,-,213.3,0.4,1082466304,4901183488,1083023360,4902866944,702087794,3849411,1338203,11926,0,4333568,8,3,/input/data/work/41/6dd7e146279d0ca86e1a1a0bed270d,true,-
5,hu-worker-c24,ca/a613ff,nf-caa613ff5429f0deca466ecb055e1b8b,NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION,-,NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION,COMPLETED,0,-,ubuntu:20.04,1,14400000,-,7516192768,1,1721517652705,1658272824000,1658272918000,65295,83951,-,112.6,0.0,6987776,11624448,6987776,11640832,13190942857,14800271751,924525,948524,503808,7400153088,219560,6804,/input/data/work/ca/a613ff5429f0deca466ecb055e1b8b,true,-
38,hu-worker-c34,4c/8369e6,nf-4c8369e626ff4de711ae5a5207ef1d38,NFCORE_MAG:MAG:FASTP,ERR260208,NFCORE_MAG:MAG:FASTP (ERR260208),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653173,1658272844000,1658272917000,63827,71000,-,551.1,1.1,2990374912,3303403520,2990374912,3370516480,3883462000,3407177715,1108,6108,0,3407200256,16,72,/input/data/work/4c/8369e626ff4de711ae5a5207ef1d38,true,-
29,hu-worker-c41,c4/f305d9,nf-c4f305d9bc7dd479ce55754bffb20137,NFCORE_MAG:MAG:FASTQC_RAW,ERR260211,NFCORE_MAG:MAG:FASTQC_RAW (ERR260211),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517652794,1658272853000,1658272958000,105206,104000,-,202.4,0.4,1212723200,5117587456,1217601536,5180506112,3103827556,3865660,6029082,12062,32231424,4657152,127,0,/input/data/work/c4/f305d9bc7dd479ce55754bffb20137,true,-
37,hu-worker-c35,9b/0413b2,nf-9b0413b2188143df890a84b4d3f93b86,NFCORE_MAG:MAG:FASTP,ERR260209,NFCORE_MAG:MAG:FASTP (ERR260209),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653260,1658272864000,1658272921000,67740,56000,-,565.7,1.1,2901299200,3246092288,2901299200,3313205248,2440828845,2312157627,764,4514,0,2312179712,16,45,/input/data/work/9b/0413b2188143df890a84b4d3f93b86,true,-
10,hu-worker-c35,2a/193d5d,nf-2a193d5dae3c5ef23905df258e9add00,NFCORE_MAG:MAG:FASTP,ERR260158,NFCORE_MAG:MAG:FASTP (ERR260158),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653318,1658272875000,1658272922000,68682,46000,-,546.5,1.1,2940223488,3330932736,2940223488,3330936832,2003336582,1802267465,660,3896,0,1802293248,15,73,/input/data/work/2a/193d5dae3c5ef23905df258e9add00,true,-
14,hu-worker-c24,62/be5bfb,nf-62be5bfb116056116769101adaf5a966,NFCORE_MAG:MAG:FASTP,ERR260273,NFCORE_MAG:MAG:FASTP (ERR260273),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653465,1658272895000,1658272921000,67535,25000,-,409.1,1.0,2630803456,3167748096,2630803456,3234861056,782748023,612149013,369,1696,0,612171776,7,126,/input/data/work/62/be5bfb116056116769101adaf5a966,true,-
26,hu-worker-c34,e3/da4110,nf-e3da4110c6c14cb4afb098524adf37e6,NFCORE_MAG:MAG:FASTQC_RAW,ERR260216,NFCORE_MAG:MAG:FASTQC_RAW (ERR260216),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517653427,1658272895000,1658272929000,75573,33000,-,213.4,0.4,1139453952,5045231616,1139453952,5045235712,936967224,3947530,1796937,12098,0,4456448,6,5,/input/data/work/e3/da4110c6c14cb4afb098524adf37e6,true,-
12,hu-worker-c27,be/4500d9,nf-be4500d91a30b94a50d4791fb08a10ca,NFCORE_MAG:MAG:FASTP,ERR260275,NFCORE_MAG:MAG:FASTP (ERR260275),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653495,1658272896000,1658272928000,74505,32000,-,390.4,0.9,2394034176,2999005184,2394034176,2999009280,997641098,783611276,419,2000,0,783642624,16,248,/input/data/work/be/4500d91a30b94a50d4791fb08a10ca,true,-
11,hu-worker-c25,b6/30ee16,nf-b630ee16c3cdd002e34ba05deb31494c,NFCORE_MAG:MAG:FASTP,ERR260246,NFCORE_MAG:MAG:FASTP (ERR260246),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,6,28800000,-,38654705664,1,1721517653289,1658272875000,1658272934000,80711,58000,-,550.6,1.1,2838999040,3239739392,2839015424,3306852352,2400950839,2308741698,756,4480,0,2308767744,18,69,/input/data/work/b6/30ee16c3cdd002e34ba05deb31494c,true,-
23,hu-worker-c24,31/873482,nf-3187348219a3537a081629bea1c9aefb,NFCORE_MAG:MAG:FASTQC_RAW,ERR260272,NFCORE_MAG:MAG:FASTQC_RAW (ERR260272),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517653545,1658272908000,1658272938000,84455,29000,-,216.7,0.4,1082662912,4901183488,1082662912,4902244352,721476745,3814959,1376102,11883,0,4349952,6,3,/input/data/work/31/87348219a3537a081629bea1c9aefb,true,-
33,hu-worker-c25,c4/8391e5,nf-c48391e5d646fa205123b02c52263648,NFCORE_MAG:MAG:FASTQC_RAW,ERR260208,NFCORE_MAG:MAG:FASTQC_RAW (ERR260208),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517652673,1658272817000,1658272945000,92327,127000,-,203.9,0.4,1214169088,5117587456,1216196608,5121835008,3833876335,3858580,7454953,12097,0,4730880,10,8,/input/data/work/c4/8391e5d646fa205123b02c52263648,true,-
30,hu-worker-c28,39/92d0ea,nf-3992d0ea45e99f489874bb601ebb484f,NFCORE_MAG:MAG:FASTQC_RAW,ERR260210,NFCORE_MAG:MAG:FASTQC_RAW (ERR260210),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517652764,1658272826000,1658272940000,87236,112000,-,203.1,0.4,1185992704,5185748992,1201074176,5212610560,3523767033,3853163,6849272,11945,0,4677632,7,4,/input/data/work/39/92d0ea45e99f489874bb601ebb484f,true,-
32,hu-worker-c42,aa/cc4665,nf-aacc466523ec70f5b11f72463e908e48,NFCORE_MAG:MAG:FASTQC_RAW,ERR260209,NFCORE_MAG:MAG:FASTQC_RAW (ERR260209),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1721517653231,1658272864000,1658272939000,85769,73000,-,205.4,0.4,1090547712,4833021952,1090547712,4900134912,2399719664,3975201,4653818,12129,0,4644864,7,4,/input/data/work/aa/cc466523ec70f5b11f72463e908e48,true,-
