task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
4,cpu06,49/49a3db,nf-4949a3db6b06423c920f4adc69df5845,task_mProject,-,task_mProject (4),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993851946,1704993862000,1704993970000,118054,24924,-,49.4,0.1,76328960,1446543360,76328960,1446543360,540052767,1207384558,1371,11818,0,1207386112,385,305,/input/data/work/49/49a3db6b06423c920f4adc69df5845,true,-
15,cpu03,0c/78ae5a,nf-0c78ae5a3813b19671542d21d731dc59,task_mProject,-,task_mProject (15),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993852610,1704993858000,1704993971000,118390,20028,-,61.4,0.1,74166272,1446543360,76201984,1446543360,540052815,1207384560,1371,11818,0,1207386112,460,276,/input/data/work/0c/78ae5a3813b19671542d21d731dc59,true,-
9,cpu10,84/34abc5,nf-8434abc501aa348231e7cdb510a3c4da,task_mProject,-,task_mProject (9),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993852068,1704993855000,1704993979000,126932,26165,-,48.0,0.1,73830400,1446543360,75804672,1446543360,540052815,1207384559,1371,11818,0,1207386112,837,488,/input/data/work/84/34abc501aa348231e7cdb510a3c4da,true,-
31,cpu10,91/c4c4f0,nf-91c4c4f0bb8885a0837976b85f795f89,task_mProject,-,task_mProject (31),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993852487,1704993855000,1704993979000,126513,29724,-,37.9,0.1,76242944,1446543360,76242944,1446543360,540052816,1207384559,1371,11818,0,1207386112,526,310,/input/data/work/91/c4c4f0bb8885a0837976b85f795f89,true,-
24,cpu02,da/a003b2,nf-daa003b2707d66ffe58d5bbcf6d281d0,task_mProject,-,task_mProject (24),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993852131,1704993862000,1704993982000,129869,47622,-,26.7,0.1,74256384,1446543360,76189696,1446543360,540052820,1207384560,1371,11818,0,1207386112,940,557,/input/data/work/da/a003b2707d66ffe58d5bbcf6d281d0,true,-
13,cpu01,47/1aafaa,nf-471aafaaa185618fbc07b95de766a47d,task_mProject,-,task_mProject (13),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993852368,1704993853000,1704993984000,131632,19909,-,64.6,0.0,72130560,1446543360,76124160,1446543360,540052323,1207384551,1371,11818,0,1207386112,5386,492,/input/data/work/47/1aafaaa185618fbc07b95de766a47d,true,-
2,cpu01,1f/dfed75,nf-1fdfed75662d3c8c40cc238834f3e33e,task_mProject,-,task_mProject (2),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993852853,1704993853000,1704993984000,131147,20233,-,63.9,0.1,76472320,1446543360,76472320,1446543360,540052323,1207384551,1371,11818,0,1207386112,10001,514,/input/data/work/1f/dfed75662d3c8c40cc238834f3e33e,true,-
21,cpu01,40/763e3c,nf-40763e3cc5f376b037f1a37d7b20788b,task_mProject,-,task_mProject (21),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993853252,1704993854000,1704993984000,130748,20212,-,60.8,0.0,72589312,1446543360,76591104,1446543360,540052324,1207384551,1371,11818,0,1207386112,10391,511,/input/data/work/40/763e3cc5f376b037f1a37d7b20788b,true,-
19,cpu01,dd/f452c4,nf-ddf452c4235300301026b8c43f33c843,task_mProject,-,task_mProject (19),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993853781,1704993854000,1704993984000,130219,20262,-,61.0,0.0,72306688,1446543360,76283904,1446543360,540052323,1207384551,1371,11818,0,1207386112,9696,511,/input/data/work/dd/f452c4235300301026b8c43f33c843,true,-
36,cpu01,79/b5b908,nf-79b5b9083ff33ce654c90ebcaa621647,task_mProject,-,task_mProject (36),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1704993854231,1704993855000,1704993984000,129769,19893,-,63.2,0.1,76054528,1446543360,76054528,1446543360,540052324,1207384551,1371,11818,0,1207386112,10745,497,/input/data/work/79/b5b9083ff33ce654c90ebcaa621647,true,-
