task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
31,cpu01,0b/8c43b6,nf-0b8c43b6fbfdc27533fd637ad344e427,task_mProject,-,task_mProject (31),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066385045,1705066385000,1705066465000,79955,20223,-,61.7,0.0,72486912,1443397632,73515008,1443397632,540052333,1207384551,1750,11818,24576,1207386112,9161,491,/input/data/work/0b/8c43b6fbfdc27533fd637ad344e427,true,-
7,cpu01,94/ed0857,nf-94ed085737056d47e1933a91c0cf92b6,task_mProject,-,task_mProject (7),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066385268,1705066386000,1705066465000,79732,20208,-,62.0,0.0,72163328,1443397632,73195520,1443397632,540052333,1207384551,1750,11818,45056,1207386112,19380,487,/input/data/work/94/ed085737056d47e1933a91c0cf92b6,true,-
12,cpu01,1a/2e3fe2,nf-1a2e3fe2bab0e459c517037de7d2a455,task_mProject,-,task_mProject (12),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066385508,1705066386000,1705066466000,80492,20503,-,54.0,0.1,73052160,1443397632,73052160,1443397632,540052333,1207384551,1750,11818,45056,1207386112,10606,481,/input/data/work/1a/2e3fe2bab0e459c517037de7d2a455,true,-
10,cpu01,ef/6a345f,nf-ef6a345ff13fdb9cf2b791a2c1f162f4,task_mProject,-,task_mProject (10),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066385763,1705066386000,1705066465000,79237,20442,-,55.7,0.1,73236480,1443397632,73236480,1443397632,540052333,1207384551,1750,11818,36864,1207386112,7110,486,/input/data/work/ef/6a345ff13fdb9cf2b791a2c1f162f4,true,-
37,cpu01,8e/c8f9b2,nf-8ec8f9b27664a028dc6a2de7dd9b8e3b,task_mProject,-,task_mProject (37),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066386014,1705066387000,1705066466000,79986,20320,-,59.0,0.1,73203712,1443397632,73203712,1443397632,540052334,1207384551,1750,11818,49152,1207386112,8561,486,/input/data/work/8e/c8f9b27664a028dc6a2de7dd9b8e3b,true,-
41,cpu01,41/15f6e9,nf-4115f6e9d9e9d79b9e25f45dbb0eda69,task_mDiffFit,-,task_mDiffFit (1),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1705066470837,1705066471000,1705066740000,269163,263300,-,2.0,0.1,71020544,1437200384,71020544,1437200384,2424942442,9547,3550,29,2414772224,12288,3477,185,/input/data/work/41/15f6e9d9e9d79b9e25f45dbb0eda69,true,-
14,cpu06,0a/3e98da,nf-0a3e98dafd676171bb1266235e7df8f2,task_mProject,-,task_mProject (14),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066384792,1705066385000,1705066813000,428208,130390,-,9.4,0.1,72876032,1443528704,72876032,1443528704,540052764,1207384557,1750,11818,529899520,1207386112,1124,315,/input/data/work/0a/3e98dafd676171bb1266235e7df8f2,true,-
15,cpu06,9c/0c65be,nf-9c0c65bee8c20e329811680be8333736,task_mProject,-,task_mProject (15),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066385112,1705066385000,1705066813000,427888,154814,-,7.9,0.1,71323648,1437204480,71323648,1437204480,540052763,1207384557,1750,11818,529899520,1207386112,1526,344,/input/data/work/9c/0c65bee8c20e329811680be8333736,true,-
19,cpu06,35/c3eeb6,nf-35c3eeb6f5001b1879ff4e323456b149,task_mProject,-,task_mProject (19),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066385365,1705066386000,1705066814000,428635,160083,-,8.0,0.1,72392704,1443397632,73420800,1443397632,540052764,1207384557,1750,11818,529899520,1207386112,1819,346,/input/data/work/35/c3eeb6f5001b1879ff4e323456b149,true,-
17,cpu06,c6/2c1043,nf-c62c104328ca17b0fb43fa5ac75a3cad,task_mProject,-,task_mProject (17),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705066385601,1705066386000,1705066815000,429399,160508,-,7.4,0.1,73170944,1443397632,73170944,1443397632,540052764,1207384557,1750,11818,529899520,1207386112,2052,314,/input/data/work/c6/2c104328ca17b0fb43fa5ac75a3cad,true,-
