task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cpu_model
1,-,847905,NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_full.csv,NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1724251948014,1724251948023,1724251949903,1889,0,-,69.1,0.0,9109504,32432128,9109504,32440320,680362,1038,244,17,5087232,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
12,-,849993,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC,K562_R1,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,25769803776,1,1724253174303,1724253174366,1724253245836,71533,70000,-,104.1,3.5,1173999616,4491829248,1173999616,4493193216,1449082154,2119932,2800461,6083,52056064,2375680,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
14,-,851428,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT,K562_R1,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R1),COMPLETED,0,-,quay.io/biocontainers/nanoplot:1.41.0--pyhdfd78af_0,2,14400000,-,12884901888,1,1724253245842,1724253245936,1724253467451,221609,220000,-,89.2,7.6,2493448192,43304116224,2840514560,72958873600,1497393801,18536755,356777,551,128614400,10338304,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
13,-,866901,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724254023878,1724254023910,1724254033247,9369,8000,-,99.7,0.0,4857856,12550144,4857856,12554240,3147395864,5625,48248,19,5926912,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
16,-,866874,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724254023873,1724254023910,1724254033329,9456,9000,-,99.3,0.0,4800512,12550144,4800512,12554240,3147395862,5625,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
20,-,866864,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724254023868,1724254023909,1724254033580,9712,9000,-,99.7,0.0,4849664,12550144,4849664,12554240,3147395863,5625,48248,19,2240512,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
8,-,868943,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724254033337,1724254033429,1724254042708,9371,9000,-,100.1,0.0,4902912,12550144,4902912,12554240,3147395863,5626,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
11,-,868900,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724254033252,1724254033329,1724254042882,9630,9000,-,99.3,0.0,4857856,12550144,4857856,12554240,3147395862,5625,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
5,-,869051,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724254033585,1724254033681,1724254042992,9407,8000,-,100.1,0.0,4829184,12550144,4829184,12554240,3147395863,5626,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
3,-,861862,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT,A549_R1,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R1),COMPLETED,0,-,quay.io/biocontainers/nanoplot:1.41.0--pyhdfd78af_0,2,14400000,-,12884901888,1,1724253766825,1724253766843,1724254113495,346670,345000,-,95.0,8.2,2737176576,43453661184,2962083840,73117089792,2412798797,27565902,578192,551,0,10313728,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
