task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,cpu08,f1/34d61d,nf-f134d61d074df8619793108f07a66bee,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1700998169629,1700998175000,1700998180000,10371,1175,-,748.7,0.0,25300992,86405120,25329664,86458368,69900951,3282075,26459,2155,56328192,4788224,572,75,/input/data/work/f1/34d61d074df8619793108f07a66bee,true,-
2,cpu02,a7/0b20fc,nf-a70b20fce69af853a72894edde21a42d,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1700998169590,1700998180000,1700998187000,17410,1543,-,1256.3,0.0,28966912,105226240,28995584,105332736,71362201,4458380,27732,2419,94208,6184960,457,40,/input/data/work/a7/0b20fce69af853a72894edde21a42d,true,-
4,cpu02,18/768da3,nf-18768da319344c0da17a8be6e6fd392a,preprocessing:preprocess,LT05_L1TP_183035_19980421_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998189395,1700998190000,1700998297000,107605,106823,-,296.0,3.0,4085350400,7861067776,4085350400,7861121024,121568608,18587397,11358,1825,0,18706432,508,4368,/input/data/work/18/768da319344c0da17a8be6e6fd392a,true,-
38,cpu02,99/062c30,nf-99062c303a24b1f398907ff229010344,preprocessing:preprocess,LE07_L1TP_183035_20030817_20170125_01_T1,preprocessing:preprocess (LE07_L1TP_183035_20030817_20170125_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998190163,1700998191000,1700998298000,107837,107151,-,294.1,3.0,4062027776,7831916544,4062027776,7831969792,92277144,6020297,9811,1443,0,6139904,489,4213,/input/data/work/99/062c303a24b1f398907ff229010344,true,-
59,cpu02,77/843992,nf-77843992994e9938914f0ffe9599c4c2,preprocessing:preprocess,LE07_L1TP_183035_20041123_20170117_01_T1,preprocessing:preprocess (LE07_L1TP_183035_20041123_20170117_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998190241,1700998191000,1700998297000,106759,101945,-,310.6,3.1,4124385280,7894605824,4124385280,7894659072,123177725,6908568,11715,1472,0,7028736,505,3916,/input/data/work/77/843992994e9938914f0ffe9599c4c2,true,-
43,cpu10,91/8f2ddb,nf-918f2ddbee9263e221379c7767b8d942,preprocessing:preprocess,LT05_L1TP_183035_20020315_20180312_01_T1,preprocessing:preprocess (LT05_L1TP_183035_20020315_20180312_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998190336,1700998194000,1700998299000,108664,104222,-,297.0,3.0,4048461824,7809568768,4048461824,7809622016,129061539,7018287,10816,1470,491520,7143424,473,4157,/input/data/work/91/8f2ddbee9263e221379c7767b8d942,true,-
47,cpu08,b5/8ece9f,nf-b58ece9f67c1b0e9fb08f54a77ba8f1b,preprocessing:preprocess,LT05_L1TP_183035_19880628_20170613_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19880628_20170613_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998190479,1700998196000,1700998298000,107521,100812,-,292.4,3.0,4020117504,7753654272,4020117504,7753707520,102264938,9286966,9973,1543,1294336,9404416,515,3585,/input/data/work/b5/8ece9f67c1b0e9fb08f54a77ba8f1b,true,-
13,cpu06,43/971143,nf-439711437a2dff84e8edb0056735ff2e,preprocessing:preprocess,LT05_L1TP_183035_19950718_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998189256,1700998192000,1700998301000,111744,108891,-,293.2,3.0,3995791360,7761313792,3995791360,7761367040,101267217,6503646,9771,1459,262144,6631424,430,4163,/input/data/work/43/9711437a2dff84e8edb0056735ff2e,true,-
14,cpu10,6b/7578d9,nf-6b7578d93a4a1ffca18b9146cb061cfb,preprocessing:preprocess,LT05_L1TP_183035_20010616_20180311_01_T1,preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998189314,1700998193000,1700998302000,112686,109133,-,300.3,3.0,4036792320,7815077888,4036792320,7815131136,122759715,9003693,10642,1537,25575424,9121792,573,4198,/input/data/work/6b/7578d93a4a1ffca18b9146cb061cfb,true,-
3,cpu07,22/51a30e,nf-2251a30e7a775d135d11be55b04a9d0c,preprocessing:preprocess,LT05_L1TP_183035_20040811_20180309_01_T1,preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1700998189370,1700998193000,1700998303000,113630,109213,-,310.5,3.0,4050608128,7817420800,4050608128,7817474048,112449060,18999756,10920,1839,0,19120128,499,4305,/input/data/work/22/51a30e7a775d135d11be55b04a9d0c,true,-
