task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,cpu10,72/4ae742,nf-724ae742c63f58f09b9bd1b93b5b1384,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1704367064735,1704367065000,1704367066000,1265,970,-,903.9,0.0,6582272,37642240,6586368,37748736,69959746,3347605,26474,2171,643072,4886528,29,0,/input/data/work/72/4ae742c63f58f09b9bd1b93b5b1384,true,-
1,cpu08,65/75e7bb,nf-6575e7bbe053ac61e02e372022eeaa55,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1704367064775,1704367065000,1704367069000,4225,1622,-,1205.9,0.0,28831744,105230336,28864512,105336832,71222353,4736941,27697,2487,643072,6602752,505,24,/input/data/work/65/75e7bbe053ac61e02e372022eeaa55,true,-
5,cpu10,71/a8a701,nf-71a8a701090481bf40010494c6a1fe75,preprocessing:preprocess,LE07_L1TP_181035_20040821_20170119_01_T1,preprocessing:preprocess (LE07_L1TP_181035_20040821_20170119_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367074443,1704367075000,1704367192000,117557,116988,-,279.1,3.3,4418351104,8328962048,4418351104,8329015296,103953014,47932361,11510,2862,102354944,48226304,1773,4201,/input/data/work/71/a8a701090481bf40010494c6a1fe75,true,-
34,cpu10,08/28db5e,nf-0828db5eedbb702e35a1f7e99e32bd8d,preprocessing:preprocess,LT05_L1TP_181035_20040829_20180309_01_T1,preprocessing:preprocess (LT05_L1TP_181035_20040829_20180309_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367075485,1704367076000,1704367194000,118515,117496,-,266.4,3.2,4377600000,8282640384,4377600000,8282693632,115019134,48835940,11675,2885,76562432,49123328,1081,4312,/input/data/work/08/28db5eedbb702e35a1f7e99e32bd8d,true,-
65,cpu10,ab/de9ab4,nf-abde9ab4f0ae892112de71b98f61ebdd,preprocessing:preprocess,LT05_L1TP_181035_20040930_20161128_01_T1,preprocessing:preprocess (LT05_L1TP_181035_20040930_20161128_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367075703,1704367076000,1704367197000,121297,120253,-,278.8,3.3,4402032640,8311410688,4402032640,8311463936,116015052,49999134,11576,2924,77991936,50294784,1036,4297,/input/data/work/ab/de9ab4f0ae892112de71b98f61ebdd,true,-
9,cpu08,c5/d4f2d0,nf-c5d4f2d0c9da514a7a5d7aed63804e85,preprocessing:preprocess,LT05_L1TP_181035_19990629_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19990629_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367074657,1704367075000,1704367205000,130343,129782,-,282.2,3.2,4379865088,8278667264,4379865088,8278720512,115547596,55319379,11625,3086,114176000,55607296,1203,4476,/input/data/work/c5/d4f2d0c9da514a7a5d7aed63804e85,true,-
14,cpu08,19/408bd8,nf-19408bd8a7f0a00bcea81f14712e3d58,preprocessing:preprocess,LT05_L1TP_181035_19920711_20180619_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19920711_20180619_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367075184,1704367075000,1704367204000,128816,127842,-,280.7,3.2,4370890752,8270409728,4370890752,8270462976,110893125,53375067,11437,3026,72896512,53673984,987,4419,/input/data/work/19/408bd8a7f0a00bcea81f14712e3d58,true,-
27,cpu08,1a/3087e8,nf-1a3087e8893950439f776f4ac2c51a44,preprocessing:preprocess,LT05_L1TP_181035_19910927_20180218_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19910927_20180218_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367074938,1704367075000,1704367208000,133062,132185,-,277.4,3.2,4350021632,8245792768,4350021632,8245846016,109282859,43034564,11279,2705,73060352,43335680,1625,4418,/input/data/work/1a/3087e8893950439f776f4ac2c51a44,true,-
37,cpu08,32/1e33f7,nf-321e33f75b1a825ae4adfd37b7fc144c,preprocessing:preprocess,LT05_L1TP_181035_19860609_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19860609_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367075450,1704367076000,1704367210000,134550,132949,-,277.1,3.2,4262133760,8147099648,4262133760,8147152896,115829623,54727030,10893,3093,84074496,55054336,1093,4607,/input/data/work/32/1e33f75b1a825ae4adfd37b7fc144c,true,-
50,cpu08,35/dc91dd,nf-35dc91ddb592004a65592c4c5b7829e1,preprocessing:preprocess,LT05_L1TP_181035_19890820_20170808_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19890820_20170808_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704367076686,1704367078000,1704367212000,135314,132809,-,275.8,3.2,4335525888,8225513472,4335525888,8225566720,110955210,52056261,11370,2988,73347072,52355072,1018,4581,/input/data/work/35/dc91ddb592004a65592c4c5b7829e1,true,-
