task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,cpu02,45/6a411e,nf-456a411efbfc7be4799a2b8174b12c1b,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1701083217657,1701083218000,1701083218000,343,0,-,64.5,0.0,9592832,15421440,9592832,15425536,713256,4922,280,18,6230016,16384,60,14,/input/data/work/45/6a411efbfc7be4799a2b8174b12c1b,true,-
47,cpu03,e9/0dfdfe,nf-e90dfdfe20994ab1325be82940ad5681,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083235314,1701083236000,1701083546000,310686,302000,-,52.5,0.3,341970944,3089989632,351592448,3145183232,1417876189,3669195,2740539,11310,1418072064,4239360,9,2,/input/data/work/e9/0dfdfe20994ab1325be82940ad5681,true,-
78,cpu01,3e/322cc7,nf-3e322cc7e3b63e9fe8fc4ac504beb665,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083223042,1701083224000,1701083734000,510958,502000,-,40.9,0.3,343134208,3089989632,357883904,3145183232,1831985565,3672468,3549527,11309,1841729536,4431872,5,4,/input/data/work/3e/322cc7e3b63e9fe8fc4ac504beb665,true,-
38,cpu03,96/552681,nf-96552681a429506ac4c901bc5df51515,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083224087,1701083225000,1701083782000,557913,552000,-,51.7,0.3,346603520,3089989632,350101504,3145183232,2560048842,3690884,4971363,11345,2538250240,4448256,7,3,/input/data/work/96/552681a429506ac4c901bc5df51515,true,-
37,cpu03,6e/adc897,nf-6eadc897037a745640a71a549aad3ff7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083223438,1701083224000,1701083801000,577562,573000,-,52.4,0.3,343105536,3089989632,345960448,3145183232,2711724069,3696004,5267756,11363,2722390016,4521984,160,28,/input/data/work/6e/adc897037a745640a71a549aad3ff7,true,-
43,cpu01,17/93944f,nf-1793944f835840be5b9502560ab9e18c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083223875,1701083224000,1701083861000,637125,632000,-,43.0,0.3,343330816,3089989632,354156544,3145183232,2508025846,3695798,4869868,11364,2486276096,4591616,5,3,/input/data/work/17/93944f835840be5b9502560ab9e18c,true,-
32,cpu01,35/2b1dcf,nf-352b1dcf45438ad6f18a00ebc96c9c2b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083223308,1701083224000,1701083878000,654692,648000,-,43.9,0.2,295968768,3009908736,296357888,3010490368,2627221744,3685677,5102640,11348,2605461504,4624384,5,5,/input/data/work/35/2b1dcf45438ad6f18a00ebc96c9c2b,true,-
9,cpu01,8f/afb6b1,nf-8fafb6b1c88c8bac5a969fb6d1cfb6fb,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083222477,1701083223000,1701083888000,665523,661000,-,40.8,0.2,339570688,3089989632,353476608,3145183232,2508491549,3693327,4870563,11353,1356673024,4702208,160,24,/input/data/work/8f/afb6b1c88c8bac5a969fb6d1cfb6fb,true,-
5,cpu01,e2/6361b1,nf-e26361b109e62dfc4bc350ac887a2812,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083224530,1701083225000,1701083888000,663470,658000,-,41.0,0.3,344035328,3089989632,357203968,3145187328,2508459992,3693314,4870632,11353,1163304960,4702208,5,4,/input/data/work/e2/6361b109e62dfc4bc350ac887a2812,true,-
11,cpu06,ea/6b1285,nf-ea6b128516bd5b43dd6425c3a49a3169,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701083226367,1701083227000,1701084058000,831633,820000,-,35.9,0.2,328945664,3089989632,334630912,3145183232,2589134207,3695791,5028470,11354,2589323264,4562944,7,2,/input/data/work/ea/6b128516bd5b43dd6425c3a49a3169,true,-
