task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,cpu02,0b/bbad8c,nf-0bbbad8c661891248fcca7be1ac0acb9,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1700860157328,1700860162000,1700860163000,5672,0,-,8.9,0.0,3264512,5632000,3264512,5636096,713245,4920,280,18,8192,16384,2,0,/input/data/work/0b/bbad8c661891248fcca7be1ac0acb9,true,-
54,cpu03,cd/366904,nf-cd3669041f9833564c0c57712c3cf3dd,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860167141,1700860178000,1700860290000,122859,107000,-,124.9,0.2,328863744,3089989632,328921088,3145183232,1417879554,3669196,2740832,11310,21876736,4124672,7,8,/input/data/work/cd/3669041f9833564c0c57712c3cf3dd,true,-
16,cpu08,bd/ada4a9,nf-bdada4a9a5fa41f6734db9adc5f129b7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860167408,1700860168000,1700860292000,124592,121000,-,139.2,0.2,335319040,3089989632,336412672,3116855296,1740209335,3670769,3370460,11314,21893120,4112384,7,4,/input/data/work/bd/ada4a9a5fa41f6734db9adc5f129b7,true,-
4,cpu09,47/f79f32,nf-47f79f321931863ea564ccb4bcb20143,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860166797,1700860172000,1700860295000,128203,119000,-,193.2,0.2,298377216,3009908736,298377216,3010490368,2508676198,3693315,4870848,11353,21209088,4194304,154,29,/input/data/work/47/f79f321931863ea564ccb4bcb20143,true,-
6,cpu09,1f/d6929e,nf-1fd6929ee1965f952b4066f30d025ea0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860166955,1700860172000,1700860292000,125045,117000,-,192.8,0.2,318599168,3085795328,319406080,3145183232,2508461103,3693316,4870716,11353,42332160,4161536,7,5,/input/data/work/1f/d6929ee1965f952b4066f30d025ea0,true,-
55,cpu09,a1/baed36,nf-a1baed36523b3a91cf439a572a9f31d1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860167971,1700860172000,1700860300000,132029,125000,-,194.3,0.3,357888000,3089989632,357888000,3145183232,2652490197,3690237,5151882,11339,0,4288512,7,6,/input/data/work/a1/baed36523b3a91cf439a572a9f31d1,true,-
43,cpu01,bf/feb4b2,nf-bffeb4b21be3128d37eee8f6baf642d1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860167291,1700860168000,1700860304000,136709,133000,-,166.9,0.2,338792448,3089989632,354062336,3145183232,2544381112,3679549,4940722,11251,54194176,4128768,148,26,/input/data/work/bf/feb4b21be3128d37eee8f6baf642d1,true,-
76,cpu03,6c/362186,nf-6c362186f6c72adb3fea11d884051354,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860168471,1700860177000,1700860304000,135529,123000,-,138.0,0.2,318914560,3087892480,318914560,3145183232,1831986270,3672473,3549548,11309,0,4198400,7,4,/input/data/work/6c/362186f6c72adb3fea11d884051354,true,-
51,cpu07,15/8cc2da,nf-158cc2da0d3dbe7d2285a5475ed9d149,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860168094,1700860178000,1700860314000,145906,132000,-,171.8,0.3,353071104,3089989632,353071104,3145183232,2401499276,3695704,4661781,11350,40263680,4157440,181,22,/input/data/work/15/8cc2da0d3dbe7d2285a5475ed9d149,true,-
21,cpu08,4b/368d6d,nf-4b368d6d38f534d65c586db19caa7be0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1700860166823,1700860167000,1700860319000,152177,145000,-,147.4,0.2,332763136,3089989632,333737984,3145183232,2183735856,3676839,4236320,11278,32514048,4202496,157,29,/input/data/work/4b/368d6d38f534d65c586db19caa7be0,true,-
