task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,cpu08,18/b95ec1,nf-18b95ec1793e13e9aee982cbd72000ea,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1701132610247,1701132611000,1701132611000,753,0,-,112.6,0.0,11792384,17182720,11792384,17281024,713155,4919,280,18,28672,16384,19,0,/input/data/work/18/b95ec1793e13e9aee982cbd72000ea,true,-
59,cpu01,b7/b68732,nf-b7b68732f44f107ae99d8c7420b0eb38,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132615011,1701132616000,1701132894000,278989,268000,-,58.4,0.3,346697728,3089989632,357060608,3145183232,1417876620,3669191,2740620,11226,1449857024,4272128,154,22,/input/data/work/b7/b68732f44f107ae99d8c7420b0eb38,true,-
43,cpu01,6e/445ff6,nf-6e445ff6524bf3ec575c0f21818cae6d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132615825,1701132616000,1701133099000,483175,477000,-,59.0,0.3,346980352,3089989632,348520448,3116851200,2560017476,3690880,4971518,11345,2538246144,4489216,5,4,/input/data/work/6e/445ff6524bf3ec575c0f21818cae6d,true,-
50,cpu01,e4/c9fe19,nf-e4c9fe19fc8d756cbd8badf211533258,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132617669,1701132619000,1701133099000,481331,475000,-,58.2,0.2,334077952,3089989632,355676160,3145183232,2544349619,3679548,4940825,11335,2522587136,4464640,5,4,/input/data/work/e4/c9fe19fc8d756cbd8badf211533258,true,-
66,cpu01,2e/74daf9,nf-2e74daf953575372474392207d1c3bc3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_1000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132617269,1701132618000,1701133158000,540731,536000,-,60.2,0.3,356843520,3089989632,356851712,3145183232,3000491190,3704577,5831841,11372,2978684928,4554752,5,4,/input/data/work/2e/74daf953575372474392207d1c3bc3,true,-
24,cpu01,42/7d0267,nf-427d0267e8efeb0c4cd27bb5308b9654,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132616228,1701132617000,1701133169000,552772,547000,-,61.2,0.3,350920704,3089989632,355356672,3145183232,3094740350,3668434,6015708,11229,3072946176,4595712,5,5,/input/data/work/42/7d0267e8efeb0c4cd27bb5308b9654,true,-
63,cpu01,af/2c8f51,nf-af2c8f512a7d8db35d3317e1928d7956,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132615490,1701132616000,1701133209000,593510,589000,-,64.3,0.2,297828352,3009908736,298098688,3011067904,3551749395,3685713,6908272,11337,3530711040,4689920,5,2,/input/data/work/af/2c8f512a7d8db35d3317e1928d7956,true,-
70,cpu01,3b/fcfe4c,nf-3bfcfe4cea62b7054b52135b74181c29,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132632246,1701132634000,1701133224000,591754,584000,-,65.8,0.2,293085184,3009908736,293240832,3010404352,3615191066,3700586,7032141,11363,3593383936,4718592,5,1,/input/data/work/3b/fcfe4cea62b7054b52135b74181c29,true,-
14,cpu07,da/954172,nf-da9541723f06918a5d03c93ea0b315f3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132616101,1701132617000,1701133459000,842899,826000,-,26.1,0.2,338550784,3089989632,354492416,3145183232,1740206676,3670772,3370242,11314,1772937216,4587520,155,29,/input/data/work/da/9541723f06918a5d03c93ea0b315f3,true,-
17,cpu10,da/94ce93,nf-da94ce93a6ea46e4a728cbb5e5d47794,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1701132615308,1701132616000,1701133553000,937692,926000,-,27.0,0.3,346079232,3089989632,347267072,3145183232,2183736650,3676840,4236379,11236,2183573504,4661248,7,3,/input/data/work/da/94ce93a6ea46e4a728cbb5e5d47794,true,-
