task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
11,cpu03,be/46f3b3,nf-be46f3b33bf4199401149df41d940ae3,task_sG1IterDecon,-,task_sG1IterDecon (11),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811137,1705001819000,1705001930000,118863,13840,-,81.5,0.0,72671232,1442304000,76668928,1446502400,122244427,800416589,1268,7843,0,800415744,464,470,/input/data/work/be/46f3b33bf4199401149df41d940ae3,true,-
28,cpu07,d9/4d1560,nf-d94d1560152c4ab73bc2749325c33bdf,task_sG1IterDecon,-,task_sG1IterDecon (28),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811196,1705001820000,1705001932000,120804,17760,-,61.9,0.1,74080256,1442304000,76083200,1446502400,122244433,800416589,1268,7843,0,800415744,989,432,/input/data/work/d9/4d1560152c4ab73bc2749325c33bdf,true,-
19,cpu03,0a/4f0980,nf-0a4f09808791ec555f2ba80570fe971a,task_sG1IterDecon,-,task_sG1IterDecon (19),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811332,1705001820000,1705001930000,118668,16135,-,65.4,0.1,74301440,1442304000,76238848,1446502400,122244427,800416589,1268,7843,0,800415744,982,426,/input/data/work/0a/4f09808791ec555f2ba80570fe971a,true,-
18,cpu07,14/2aebeb,nf-142aebebd4ed562ee90dca2c564bdcc2,task_sG1IterDecon,-,task_sG1IterDecon (18),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811408,1705001820000,1705001932000,120592,13891,-,78.6,0.1,74260480,1442295808,76296192,1446494208,122244432,800416589,1268,7843,0,800415744,794,530,/input/data/work/14/2aebebd4ed562ee90dca2c564bdcc2,true,-
20,cpu03,34/0bf56b,nf-340bf56b2ef28f82b0faa318edde238d,task_sG1IterDecon,-,task_sG1IterDecon (20),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811567,1705001820000,1705001930000,118433,16054,-,68.5,0.1,74334208,1442304000,76288000,1446502400,122244427,800416589,1268,7843,0,800415744,1125,458,/input/data/work/34/0bf56b2ef28f82b0faa318edde238d,true,-
50,cpu07,70/ac429f,nf-70ac429f4c6eb39fe237693f862933aa,task_sG1IterDecon,-,task_sG1IterDecon (50),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811642,1705001820000,1705001932000,120358,17168,-,64.2,0.1,74231808,1442295808,76193792,1446494208,122244432,800416589,1268,7843,0,800415744,1191,570,/input/data/work/70/ac429f4c6eb39fe237693f862933aa,true,-
32,cpu03,ad/a1db68,nf-ada1db68334214b2f8a0600c78ea61ec,task_sG1IterDecon,-,task_sG1IterDecon (32),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811745,1705001820000,1705001930000,118255,15988,-,64.7,0.1,74444800,1442304000,76394496,1446502400,122244427,800416589,1268,7843,0,800415744,1262,421,/input/data/work/ad/a1db68334214b2f8a0600c78ea61ec,true,-
23,cpu07,b0/057c3c,nf-b0057c3c700213c6842114dc87190cdc,task_sG1IterDecon,-,task_sG1IterDecon (23),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811848,1705001821000,1705001932000,120152,17281,-,63.8,0.1,73924608,1442295808,75915264,1446494208,122244433,800416589,1268,7843,0,800415744,986,471,/input/data/work/b0/057c3c700213c6842114dc87190cdc,true,-
34,cpu08,c1/b3c3d1,nf-c1b3c3d1c51bb38a94affaca99b33530,task_sG1IterDecon,-,task_sG1IterDecon (34),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811925,1705001812000,1705001933000,121075,17130,-,59.9,0.1,74260480,1442304000,76263424,1446502400,122244373,800416587,1268,7843,0,800415744,1208,488,/input/data/work/c1/b3c3d1c51bb38a94affaca99b33530,true,-
36,cpu03,ba/4a1d9c,nf-ba4a1d9c23edc8060eec9d1aa75e845b,task_sG1IterDecon,-,task_sG1IterDecon (36),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811998,1705001819000,1705001930000,118002,14724,-,71.5,0.1,74625024,1442304000,76582912,1446502400,122244427,800416589,1268,7843,0,800415744,580,423,/input/data/work/ba/4a1d9c23edc8060eec9d1aa75e845b,true,-
42,cpu07,a1/d1a7d5,nf-a1d1a7d58aa160c22090c4de6430d171,task_sG1IterDecon,-,task_sG1IterDecon (42),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001812046,1705001821000,1705001932000,119954,17487,-,61.1,0.1,74248192,1442304000,76247040,1446502400,122244433,800416589,1268,7843,0,800415744,1043,458,/input/data/work/a1/d1a7d58aa160c22090c4de6430d171,true,-
26,cpu06,ba/384adb,nf-ba384adbc9950da69fe19bbb5682d543,task_sG1IterDecon,-,task_sG1IterDecon (26),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811005,1705001816000,1705001935000,123995,14516,-,65.6,0.1,74022912,1442304000,75960320,1446502400,122244375,800416586,1268,7843,0,800415744,571,536,/input/data/work/ba/384adbc9950da69fe19bbb5682d543,true,-
29,cpu08,99/3afaef,nf-993afaef66c66ed7dad67818698a3c52,task_sG1IterDecon,-,task_sG1IterDecon (29),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811042,1705001812000,1705001933000,121958,17011,-,57.3,0.1,74330112,1442304000,76267520,1446502400,122244372,800416586,1268,7843,0,800415744,1267,432,/input/data/work/99/3afaef66c66ed7dad67818698a3c52,true,-
17,cpu10,58/88c1d0,nf-5888c1d03bedff940d0fde427ee3cc15,task_sG1IterDecon,-,task_sG1IterDecon (17),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811074,1705001821000,1705001933000,121926,17018,-,62.5,0.1,74190848,1442304000,76234752,1446502400,122244428,800416588,1268,7843,0,800415744,1236,477,/input/data/work/58/88c1d03bedff940d0fde427ee3cc15,true,-
24,cpu09,7e/94f402,nf-7e94f402e8c1e78825c2dc0d4231a870,task_sG1IterDecon,-,task_sG1IterDecon (24),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811107,1705001822000,1705001937000,125893,15100,-,64.4,0.1,74276864,1442304000,76238848,1446502400,122244349,800416586,1268,7843,0,800415744,562,496,/input/data/work/7e/94f402e8c1e78825c2dc0d4231a870,true,-
22,cpu02,f9/5ef938,nf-f95ef9385a5c8a7a4f22275e2c3b18d4,task_sG1IterDecon,-,task_sG1IterDecon (22),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811167,1705001812000,1705001937000,125833,17160,-,62.4,0.1,74125312,1442304000,76042240,1446502400,122244432,800416589,1268,7843,32768,800415744,1055,474,/input/data/work/f9/5ef9385a5c8a7a4f22275e2c3b18d4,true,-
7,cpu08,fa/e2f3f9,nf-fae2f3f9f3d45dcc5f57990667a2f660,task_sG1IterDecon,-,task_sG1IterDecon (7),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811252,1705001812000,1705001933000,121748,16766,-,65.2,0.1,74444800,1442304000,76447744,1446502400,122244373,800416587,1268,7843,0,800415744,1512,483,/input/data/work/fa/e2f3f9f3d45dcc5f57990667a2f660,true,-
4,cpu10,52/999fba,nf-52999fba547e40c409d8c7ce393593a0,task_sG1IterDecon,-,task_sG1IterDecon (4),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811280,1705001820000,1705001933000,121720,15018,-,66.5,0.1,74174464,1442304000,76087296,1446502400,122244426,800416587,1268,7843,0,800415744,731,570,/input/data/work/52/999fba547e40c409d8c7ce393593a0,true,-
8,cpu06,94/3bae10,nf-943bae10cdc5572118f02f9907f4f3d7,task_sG1IterDecon,-,task_sG1IterDecon (8),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811307,1705001816000,1705001935000,123693,16760,-,65.7,0.1,74240000,1442304000,76177408,1446502400,122244376,800416587,1268,7843,0,800415744,1081,502,/input/data/work/94/3bae10cdc5572118f02f9907f4f3d7,true,-
21,cpu09,78/50fa01,nf-7850fa014df557d37a741790c045a458,task_sG1IterDecon,-,task_sG1IterDecon (21),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811358,1705001821000,1705001937000,125642,15650,-,62.8,0.1,74346496,1442304000,76296192,1446502400,122244351,800416586,1268,7843,0,800415744,877,478,/input/data/work/78/50fa014df557d37a741790c045a458,true,-
30,cpu02,49/4e3fec,nf-494e3feceb2e87fbc062b4dacdf4914b,task_sG1IterDecon,-,task_sG1IterDecon (30),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811382,1705001812000,1705001937000,125618,16170,-,59.9,0.1,74174464,1442304000,76107776,1446502400,122244431,800416588,1268,7843,28672,800415744,1077,445,/input/data/work/49/4e3feceb2e87fbc062b4dacdf4914b,true,-
6,cpu01,78/13c061,nf-7813c0610b95fc12f17a2436747fac8a,task_sG1IterDecon,-,task_sG1IterDecon (6),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811440,1705001812000,1705001938000,126560,15121,-,71.3,0.0,72323072,1442304000,76320768,1446502400,122243935,800416580,1268,7843,0,800415744,7417,410,/input/data/work/78/13c0610b95fc12f17a2436747fac8a,true,-
31,cpu06,16/7ec2eb,nf-167ec2eb47534217a9130f7477192f0f,task_sG1IterDecon,-,task_sG1IterDecon (31),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811466,1705001816000,1705001935000,123534,17069,-,60.7,0.1,74072064,1442304000,76070912,1446502400,122244376,800416587,1268,7843,0,800415744,1290,452,/input/data/work/16/7ec2eb47534217a9130f7477192f0f,true,-
5,cpu10,38/084775,nf-380847755f2926978f8986ac4e1ca8e1,task_sG1IterDecon,-,task_sG1IterDecon (5),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811490,1705001820000,1705001933000,121510,15310,-,69.2,0.1,74162176,1442304000,76103680,1446502400,122244428,800416588,1268,7843,0,800415744,845,1047,/input/data/work/38/0847755f2926978f8986ac4e1ca8e1,true,-
9,cpu08,79/29f0a2,nf-7929f0a2937ee823350e71014ea7d210,task_sG1IterDecon,-,task_sG1IterDecon (9),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811516,1705001812000,1705001933000,121484,16250,-,56.9,0.1,74158080,1442304000,76103680,1446502400,122244371,800416586,1268,7843,0,800415744,1395,494,/input/data/work/79/29f0a2937ee823350e71014ea7d210,true,-
16,cpu09,ee/3ed80b,nf-ee3ed80bb683f0d1e0a59114252a234f,task_sG1IterDecon,-,task_sG1IterDecon (16),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811541,1705001823000,1705001937000,125459,15687,-,65.0,0.1,74006528,1442304000,75984896,1446502400,122244352,800416587,1268,7843,8192,800415744,2030,677,/input/data/work/ee/3ed80bb683f0d1e0a59114252a234f,true,-
10,cpu02,44/86008f,nf-4486008f2c7227d3700f6e6abd92d070,task_sG1IterDecon,-,task_sG1IterDecon (10),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811592,1705001812000,1705001937000,125408,16934,-,60.9,0.1,74407936,1442304000,76386304,1446502400,122244432,800416589,1268,7843,16384,800415744,1422,473,/input/data/work/44/86008f2c7227d3700f6e6abd92d070,true,-
12,cpu01,32/ea0499,nf-32ea0499902917e2b80b05b1f8736acd,task_sG1IterDecon,-,task_sG1IterDecon (12),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811617,1705001812000,1705001938000,126383,15252,-,69.3,0.0,72343552,1442299904,76341248,1446498304,122243936,800416580,1268,7843,0,800415744,6850,404,/input/data/work/32/ea0499902917e2b80b05b1f8736acd,true,-
1,cpu10,56/090cda,nf-56090cda2099f588ec400262c4d1d686,task_sG1IterDecon,-,task_sG1IterDecon (1),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811667,1705001820000,1705001933000,121333,17356,-,63.3,0.1,74051584,1442304000,76013568,1446502400,122244426,800416588,1268,7843,0,800415744,1256,429,/input/data/work/56/090cda2099f588ec400262c4d1d686,true,-
27,cpu06,92/676f90,nf-92676f9086fa3377211a01a05234f848,task_sG1IterDecon,-,task_sG1IterDecon (27),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811692,1705001817000,1705001935000,123308,16763,-,66.0,0.1,74354688,1442304000,76390400,1446502400,122244376,800416587,1268,7843,0,800415744,1544,496,/input/data/work/92/676f9086fa3377211a01a05234f848,true,-
14,cpu02,44/3719a9,nf-443719a9b0c14ef7cb3f023cee0558ff,task_sG1IterDecon,-,task_sG1IterDecon (14),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811717,1705001812000,1705001937000,125283,14952,-,66.9,0.1,73945088,1442304000,75890688,1446502400,122244431,800416588,1268,7843,16384,800415744,633,508,/input/data/work/44/3719a9b0c14ef7cb3f023cee0558ff,true,-
15,cpu08,35/fed850,nf-35fed850f4b3bb0375b078168ec404cc,task_sG1IterDecon,-,task_sG1IterDecon (15),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811769,1705001812000,1705001933000,121231,17164,-,55.5,0.1,74420224,1442304000,76369920,1446502400,122244372,800416586,1268,7843,0,800415744,1088,556,/input/data/work/35/fed850f4b3bb0375b078168ec404cc,true,-
2,cpu09,f1/2d94b3,nf-f12d94b389f3c1a2623a777865debced,task_sG1IterDecon,-,task_sG1IterDecon (2),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811795,1705001822000,1705001937000,125205,15487,-,71.2,0.1,74457088,1442304000,76439552,1446502400,122244351,800416587,1268,7843,0,800415744,622,504,/input/data/work/f1/2d94b389f3c1a2623a777865debced,true,-
13,cpu01,00/babcce,nf-00babccee6c47fd1ba3adc7790d06fd8,task_sG1IterDecon,-,task_sG1IterDecon (13),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811823,1705001812000,1705001938000,126177,15236,-,71.2,0.0,72286208,1442304000,76283904,1446502400,122243935,800416580,1268,7843,0,800415744,5156,429,/input/data/work/00/babccee6c47fd1ba3adc7790d06fd8,true,-
25,cpu06,60/b459c2,nf-60b459c20ebbde8290229afc85782066,task_sG1IterDecon,-,task_sG1IterDecon (25),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811874,1705001816000,1705001935000,123126,16156,-,63.2,0.1,74633216,1442304000,76615680,1446502400,122244374,800416587,1268,7843,0,800415744,1129,1052,/input/data/work/60/b459c20ebbde8290229afc85782066,true,-
33,cpu10,cf/35d40f,nf-cf35d40f15799ed444d6172eb4fa5022,task_sG1IterDecon,-,task_sG1IterDecon (33),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811901,1705001821000,1705001933000,121099,17000,-,61.6,0.1,74158080,1442304000,76099584,1446502400,122244428,800416588,1268,7843,0,800415744,942,436,/input/data/work/cf/35d40f15799ed444d6172eb4fa5022,true,-
35,cpu09,6c/d260ec,nf-6cd260ecf9f73ef52bd5f12d89c4e633,task_sG1IterDecon,-,task_sG1IterDecon (35),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811947,1705001824000,1705001937000,125053,15316,-,70.9,0.1,74039296,1442304000,75997184,1446502400,122244351,800416587,1268,7843,12288,800415744,411,467,/input/data/work/6c/d260ecf9f73ef52bd5f12d89c4e633,true,-
37,cpu02,bc/34faad,nf-bc34faadeef4b8e565e974025cb9f431,task_sG1IterDecon,-,task_sG1IterDecon (37),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705001811973,1705001813000,1705001937000,125027,14476,-,72.9,0.0,72310784,1442435072,76304384,1446633472,122244431,800416589,1268,7843,24576,800415744,1188,478,/input/data/work/bc/34faadeef4b8e565e974025cb9f431,true,-
