task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
30,cpu01,31/1e9e69,nf-311e9e69b6171519b29271760ddead08,task_sG1IterDecon,-,task_sG1IterDecon (30),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003792788,1705003793000,1705003885000,92212,15071,-,73.3,0.0,72286208,1442304000,76279808,1446502400,122243937,800416580,1268,7843,0,800415744,11437,503,/input/data/work/31/1e9e69b6171519b29271760ddead08,true,-
1,cpu01,80/3430cd,nf-803430cd40d3523e19d762843f98b702,task_sG1IterDecon,-,task_sG1IterDecon (1),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003792981,1705003793000,1705003885000,92019,15256,-,72.7,0.0,72384512,1442304000,76378112,1446502400,122243936,800416580,1268,7843,0,800415744,11097,496,/input/data/work/80/3430cd40d3523e19d762843f98b702,true,-
14,cpu01,58/59d79f,nf-5859d79f5d882521399fce808e4497cd,task_sG1IterDecon,-,task_sG1IterDecon (14),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003793200,1705003794000,1705003885000,91800,15276,-,70.1,0.0,72175616,1442304000,76169216,1446502400,122243936,800416580,1268,7843,0,800415744,7069,406,/input/data/work/58/59d79f5d882521399fce808e4497cd,true,-
13,cpu01,59/880fd0,nf-59880fd0ef026d239b2b02a93128f5db,task_sG1IterDecon,-,task_sG1IterDecon (13),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003793406,1705003794000,1705003885000,91594,15170,-,67.8,0.0,72294400,1442304000,76288000,1446502400,122243935,800416580,1268,7843,0,800415744,9398,411,/input/data/work/59/880fd0ef026d239b2b02a93128f5db,true,-
36,cpu01,4f/c62769,nf-4fc62769556aba99fc7912ed91724cc8,task_sG1IterDecon,-,task_sG1IterDecon (36),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003793526,1705003794000,1705003885000,91474,15162,-,70.3,0.0,72265728,1442304000,76259328,1446502400,122243936,800416580,1268,7843,0,800415744,4951,408,/input/data/work/4f/c62769556aba99fc7912ed91724cc8,true,-
9,cpu06,b4/6e21ad,nf-b46e21ad3dc12f7ab3745d9e34405d44,task_sG1IterDecon,-,task_sG1IterDecon (9),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003792579,1705003797000,1705003896000,103421,16781,-,57.0,0.1,74473472,1442435072,76439552,1446633472,122244375,800416586,1268,7843,0,800415744,1240,518,/input/data/work/b4/6e21ad3dc12f7ab3745d9e34405d44,true,-
10,cpu10,c9/efc1bb,nf-c9efc1bb8734726b23d1ec6fddf249b0,task_sG1IterDecon,-,task_sG1IterDecon (10),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003792612,1705003795000,1705003896000,103388,17553,-,54.9,0.1,74240000,1442304000,76161024,1446502400,122244426,800416587,1268,7843,0,800415744,686,428,/input/data/work/c9/efc1bb8734726b23d1ec6fddf249b0,true,-
21,cpu08,42/60c461,nf-4260c4617c021cda68999c404ab72718,task_sG1IterDecon,-,task_sG1IterDecon (21),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003792648,1705003798000,1705003900000,107352,16141,-,68.4,0.1,74149888,1442304000,76148736,1446502400,122244371,800416587,1268,7843,0,800415744,1314,453,/input/data/work/42/60c4617c021cda68999c404ab72718,true,-
5,cpu02,a5/d72a0e,nf-a5d72a0e3446342955336db6ca0c037c,task_sG1IterDecon,-,task_sG1IterDecon (5),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003792677,1705003799000,1705003897000,104323,16773,-,59.3,0.1,74633216,1442304000,76623872,1446502400,122244431,800416588,1268,7843,0,800415744,795,443,/input/data/work/a5/d72a0e3446342955336db6ca0c037c,true,-
26,cpu09,72/486569,nf-72486569624195d933572a6c51b3b16c,task_sG1IterDecon,-,task_sG1IterDecon (26),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705003792733,1705003795000,1705003899000,106267,17433,-,62.1,0.1,74362880,1442304000,76394496,1446502400,122244352,800416587,1268,7843,20480,800415744,1511,446,/input/data/work/72/486569624195d933572a6c51b3b16c,true,-
