task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
20,cpu08,4f/a4fc9a,nf-4fa4fc9a5f2b6a4c7e5ee64cb170a46d,task_sG1IterDecon,-,task_sG1IterDecon (20),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084906839,1705084907000,1705085174000,267161,23851,-,44.2,0.1,72019968,1442304000,73039872,1443356672,122244373,800416587,1348,7843,112091136,800415744,545,121,/input/data/work/4f/a4fc9a5f2b6a4c7e5ee64cb170a46d,true,-
23,cpu08,e4/a38364,nf-e4a383641162c7f15e4143fe614ee0e8,task_sG1IterDecon,-,task_sG1IterDecon (23),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907119,1705084907000,1705085174000,266881,30876,-,34.9,0.1,71958528,1442304000,72974336,1443356672,122244372,800416587,1348,7843,112091136,800415744,778,479,/input/data/work/e4/a383641162c7f15e4143fe614ee0e8,true,-
21,cpu01,55/61c6de,nf-5561c6deaab390face012d0e1e76aa1a,task_sG1IterDecon,-,task_sG1IterDecon (21),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907254,1705084908000,1705085178000,270746,14736,-,75.0,0.0,72081408,1442304000,73097216,1443356672,122243945,800416580,1348,7843,0,800415744,1710,491,/input/data/work/55/61c6deaab390face012d0e1e76aa1a,true,-
14,cpu10,56/509155,nf-565091554e915d2a852e342bf410b216,task_sG1IterDecon,-,task_sG1IterDecon (14),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907347,1705084908000,1705085179000,271653,29398,-,35.9,0.1,72056832,1442304000,73080832,1443356672,122244427,800416588,1348,7843,112091136,800415744,1039,223,/input/data/work/56/5091554e915d2a852e342bf410b216,true,-
32,cpu08,89/160069,nf-8916006990b57bf2e640a17eaf634332,task_sG1IterDecon,-,task_sG1IterDecon (32),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907378,1705084908000,1705085176000,268622,34735,-,28.7,0.1,72044544,1442304000,73064448,1443356672,122244372,800416586,1348,7843,112091136,800415744,681,344,/input/data/work/89/16006990b57bf2e640a17eaf634332,true,-
15,cpu10,ab/52e4c4,nf-ab52e4c42867a0f112ca87c3034de4a1,task_sG1IterDecon,-,task_sG1IterDecon (15),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907598,1705084908000,1705085179000,271402,30704,-,34.6,0.1,71999488,1442304000,73023488,1443356672,122244429,800416588,1348,7843,112091136,800415744,244,98,/input/data/work/ab/52e4c42867a0f112ca87c3034de4a1,true,-
9,cpu08,2e/47f076,nf-2e47f076f975580cd1d092c47d0b61dd,task_sG1IterDecon,-,task_sG1IterDecon (9),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907658,1705084908000,1705085176000,268342,34715,-,29.5,0.1,72126464,1442304000,73007104,1443356672,122244372,800416587,1348,7843,112091136,800415744,903,330,/input/data/work/2e/47f076f975580cd1d092c47d0b61dd,true,-
28,cpu07,2a/6f4988,nf-2a6f4988d83759b844c6399d8b737180,task_sG1IterDecon,-,task_sG1IterDecon (28),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907779,1705084908000,1705085182000,274221,40318,-,26.6,0.1,72294400,1442295808,73293824,1443348480,122244433,800416589,1348,7843,112091136,800415744,702,425,/input/data/work/2a/6f4988d83759b844c6399d8b737180,true,-
45,cpu10,5e/9a62ca,nf-5e9a62ca81a3444267b6c50d5f5fb5e3,task_sG1IterDecon,-,task_sG1IterDecon (45),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907967,1705084909000,1705085180000,272033,31489,-,32.9,0.1,71921664,1442304000,72945664,1443356672,122244429,800416588,1348,7843,112091136,800415744,580,413,/input/data/work/5e/9a62ca81a3444267b6c50d5f5fb5e3,true,-
60,cpu08,0f/6f5b02,nf-0f6f5b02af05690c9d2e0d1b5081a120,task_sG1IterDecon,-,task_sG1IterDecon (60),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084907997,1705084910000,1705085176000,268003,32128,-,33.2,0.1,72310784,1442304000,73330688,1443356672,122244372,800416587,1348,7843,112091136,800415744,1049,252,/input/data/work/0f/6f5b02af05690c9d2e0d1b5081a120,true,-
37,cpu01,ef/3a69a5,nf-ef3a69a539016648f79c6dfa54475b01,task_sG1IterDecon,-,task_sG1IterDecon (37),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084908027,1705084909000,1705085183000,274973,14702,-,67.0,0.0,72032256,1442304000,73056256,1443356672,122243944,800416579,1348,7843,0,800415744,7125,388,/input/data/work/ef/3a69a539016648f79c6dfa54475b01,true,-
49,cpu07,31/5be81c,nf-315be81cfd219916f4c4b3fcd26c4de3,task_sG1IterDecon,-,task_sG1IterDecon (49),COMPLETED,0,-,anonymized/nf_wfbench:skip_mem_v11,1,-,-,23396834345,1,1705084908061,1705084911000,1705085182000,273939,35207,-,31.0,0.1,72192000,1442304000,73207808,1443356672,122244432,800416589,1348,7843,112091136,800415744,730,410,/input/data/work/31/5be81cfd219916f4c4b3fcd26c4de3,true,-
